citation_id,source_label,application_type,application_decision,decision_basis,matched_regex_or_rule,matched_text,evidence_excerpt,reference_acceptance,reference_acceptance_matched_rule,reference_acceptance_matched_text
[37],United Kingdom - London Borough of Camden - Camden Council / municipal sorting rule,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,tea bags,"You can recycle: dairy products eggs and eggshells fruit and vegetables meat, fish and their bones stale bread and pastries, pasta and rice tea bags and coffee You can’t recycle: any materials other than food waste garden waste liquids oil packaging Together we recycle food waste Meet yo",Collection liners only,"\b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",caddy liners you can
[37],United Kingdom - London Borough of Camden - Camden Council / municipal sorting rule,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*","compostable liner, old newspaper or kitchen roll. you must not use plastic","r caddy by 7am on your collection day. You can line your caddy or put the food waste directly in. If you line your caddy, you need to use a compostable liner, old newspaper or kitchen roll. You must not use plastic bin bags. Order food waste caddies. Find out more about composting on our garden waste page . If you live on an estate or in a block If you",Collection liners only,"\b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",caddy liners you can
[38],United Kingdom - Manchester - Manchester City Council / municipal sorting rule,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,compostable bags,"Raw and cooked food Tea bags and coffee grinds Egg shells Grass cuttings, hedge clippings, twigs and branches. Food waste should be put in compostable bags first, which can be ordered for free here: Order new kitchen waste bags (caddy liners) . For more information, tips, recipes and help to re",Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste should be put in compostable bags
[38],United Kingdom - Manchester - Manchester City Council / municipal sorting rule,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,tea bags,"containers and boxes Your green bin is for food and garden waste. Things you can put in it include: Meat and fish bones Raw and cooked food Tea bags and coffee grinds Egg shells Grass cuttings, hedge clippings, twigs and branches. Food waste should be put in compostable bags first, which",Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste should be put in compostable bags
[39],United Kingdom - England - UK Government / national government guidance,Food-waste liners / collection bags,Accepted with conditions,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,caddy liners,"eed to collect any plastic packaging or non-packaging items labelled as ‘compostable’ or ‘biodegradable’, including coffee pods. Food waste caddy liners used to hold food waste can be collected. Garden waste You do not need to collect: animal bedding bulky waste (including garden furniture a",Collection liners only,"\b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",food waste caddy liners used to hold food waste can be collected
[39],United Kingdom - England - UK Government / national government guidance,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,coffee pods,"ing-in-england do not need to collect: any plastic packaging or non-packaging items labelled as ‘compostable’ or ‘biodegradable’, including coffee pods plastic bottles that have contained white spirits, paints, engine oils or antifreeze bulky rigid plastics such as garden furniture, bins an",Collection liners only,"\b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",food waste caddy liners used to hold food waste can be collected
[39],United Kingdom - England - UK Government / national government guidance,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*","compostable' or 'biodegradable', including coffee pods plastic","guidance/simpler-recycling-household-recycling-in-england do not need to collect: any plastic packaging or non-packaging items labelled as ‘compostable’ or ‘biodegradable’, including coffee pods plastic bottles that have contained white spirits, paints, engine oils or antifreeze bulky rigid plastics such as garden furniture, bins and plasti",Collection liners only,"\b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",food waste caddy liners used to hold food waste can be collected
[40],United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Food-waste liners / collection bags,Accepted with conditions,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,kitchen caddy,iving in Lewes district. What you will receive Every household will receive a food waste starter pack consisting of: a new food waste bin a kitchen caddy a roll of compostable liners Your district or borough council will deliver this pack and let you know when collections will start in your a,Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?",pack consisting of: a new food waste bin a kitchen caddy a roll of compostable liners
[40],United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,tea bags,"peelings Meat, fish and bones – raw and cooked Dairy products – including egg shells Bread, cake, pasta, rice and beans Coffee grounds and tea bags Household plants and cut flowers Not accepted Food packaging such as plastic, paper, cardboard and metal foil Plastic bags and clingfilm –",Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?",pack consisting of: a new food waste bin a kitchen caddy a roll of compostable liners
[40],United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",compostable packaging you should not put compostable packaging,"Cooking oil and liquids Kitchen cutlery, crockery and plates Cleaning wipes and nappies Garden waste Animal waste such as bedding and poop Compostable packaging You should not put compostable packaging in your food waste bin. If using compostable liner, they must display the seedling logo. This shows that they meet the EN 13432 standard an",Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?",pack consisting of: a new food waste bin a kitchen caddy a roll of compostable liners
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,compostable liner,"t have to use a liner , you can put your food waste straight into your caddy if you'd prefer. Many people choose to line their caddy with a compostable liner. Liners are separated from food waste at the start of the recycling process by a series of large metal paddles. If you live in a flat and s",Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?","use a liner , you can put your food waste straight into your caddy if you'd prefer. many people choose to line their caddy with a compostable liner"
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Food-service ware / takeaway packaging,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(food[- ]?service|serviceware|take[- ]?away|takeout|to[- ]?go|catering|event|festival|venue|closed[- ]?loop)\b,catering,"Our household waste collections are for domestic properties only . Businesses and non-domestic properties are not eligible, including: Self-catering and holiday let accommodation. (Includes homes rented out part of the year as holiday accommodation) Hotels Shops By law, businesses must a",Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?","use a liner , you can put your food waste straight into your caddy if you'd prefer. many people choose to line their caddy with a compostable liner"
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Food-waste liners / collection bags,Accepted,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,compostable bag,peelings pet food waste What you cannot put in your caddies Please do not put the following in your caddies: packaging of any kind (except compostable bag to line the caddy) plastic bags glass liquids such as milk (these may leak during transport) cat litter or animal faeces compostable cutler,Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste what you cannot put in your caddies please do not put the following in your caddies: packaging of any kind (except compostable bag
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Tea/coffee preparation items,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,tea bags,"ou can put in your caddies You can put all raw and cooked food leftovers into your caddies, including: all uneaten food and plate scrapings tea bags (biodegradable and non-biodegradable) coffee grounds out of date or mouldy food raw and cooked meat, including bones raw and cooked fish, i",Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste what you cannot put in your caddies please do not put the following in your caddies: packaging of any kind (except compostable bag
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Generic compostable packaging / plastics,Rejected,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",compostable bag to line the caddy) plastic,peelings pet food waste What you cannot put in your caddies Please do not put the following in your caddies: packaging of any kind (except compostable bag to line the caddy) plastic bags glass liquids such as milk (these may leak during transport) cat litter or animal faeces compostable cutlery or compostable packaging,Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste what you cannot put in your caddies please do not put the following in your caddies: packaging of any kind (except compostable bag
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Food-waste liners / collection bags,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,caddy liners,"All about the new food waste service | https://www.lichfielddc.gov.uk/food-waste-3/food-waste/5 All about the new food waste service About caddy liners We will provide you with a roll of 52 liners in your caddy pack, one for every week of the year. When you run out of liners, loop the yello",Rejected,"please\s+do\s+not\s+use:.{0,260}compostable\s+bags.{0,220}(?:clog\s+up\s+the\s+machinery|aren[’']?t\s+composted|sent\s+to\s+be\s+incinerated)","please do not use: solid colour bags of waste - we need to be able to see the food waste inside bags. compostable bags, as they break down too quickly and clog up the machinery at the processing plant. they also aren't composted and are sent to be incinerated"
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Food-waste liners / collection bags,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,kitchen caddy,des and labels Guides and labels to help you recycle food waste at home. 0.4mb • pdf How to recycle food waste at home How best to use your kitchen caddy. Download 0.6mb • pdf What can and cannot be placed in your food waste recycling bin Sticker for your kitchen caddy. Download Composting Ho,Accepted broadly,compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\),compostable packaging (all must be certified to en13432)
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Tea/coffee preparation items,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,tea bags,"ludes all cuttings, peels or leftovers from your kitchen like: Raw & cooked food Eggshells Fruit & veg Dairy products Bread Coffee grinds & tea bags Kitchen roll/tissue Meat & fish Light garden waste includes: Grass and plant clippings Twigs Small branches Compostable Packaging (all must",Accepted broadly,compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\),compostable packaging (all must be certified to en13432)
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Generic compostable packaging / plastics,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.","\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",compostable packaging,e/at-home/three-bin-system/brown-bin/ n roll/tissue Meat & fish Light garden waste includes: Grass and plant clippings Twigs Small branches Compostable Packaging (all must be certified to EN13432): Takeaway cup Takeaway bowls Compostable cutlery Everyone everywhere is entitled to a brown bin collecti,Accepted broadly,compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\),compostable packaging (all must be certified to en13432)
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Generic compostable packaging / plastics,Rejected,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,"\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|bioplastic|bio[- ]?plastic|bioplastics|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|kompostitav\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b.{0,140}\b(packaging|plastic|plastics|product|products|material|materials|item|items|verpackungen|kunststoff|emballage|embalagem|imballagg|envase|verpakking|pakend|pakkauks|opakowania|embala[žz]a|obaly|muovi|pakkauks|label|sticker)\w*",kompostierbar»: diese kunststoffe,"nicht zwingend biologisch abbaubar, sondern aus nachwachsenden Rohstoffen wie Mais oder Zuckerrüben gefertigt. «biologisch abbaubar» oder «kompostierbar»: Diese Kunststoffe werden durch natürlich auftretende Mikroorganismen vollständig abgebaut und in Wasser, Kohlenstoffdioxid und Biomasse umgewandelt. Produkte",Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","kunststoff, also mit den herkömmlichen verpackungen, hergestellt aus erdöl. diese gehören nicht"
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Food-waste liners / collection bags,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b,compostable bags,"lants: All plant debris, including flowers, leaves, weeds, and branches Tree trimmings (less than 6” in diameter and 4’ long) Other: B.P.I. Compostable bags Natural fiber-based cups, plates, bowls, utensils (Bamboo, wood, Bagasse) Cooking grease: Small amounts can be soaked up with a paper towel",Accepted broadly,"acceptable\s+composting\s+materials.{0,700}(?:b\.?p\.?i\.?\s+compostable\s+bags|bpi[- ]?certified).{0,500}(?:natural\s+fiber[- ]based\s+cups|plates|bowls|utensils|bagasse)","acceptable composting materials unacceptable materials food scraps: all fruits and vegetables (including pits and shells) coffee grounds and tea leaves dairy products (no liquids) eggshells and eggs leftovers and spoiled food cooked meat (including bones) seafood (including shellfish) dirty, soiled paper: greasy pizza boxes and paper bags paper coffee filters and tea bags paper plates paper napkins, tissues, and paper towels paper take-out boxes and containers plants: all plant debris, including flowers, leaves, weeds, and branches tree trimmings (less than 6” in diameter and 4' long) other: b.p.i. compostable bags natural fiber-based cups, plates, bowls, utensils (bamboo, wood, bagasse"
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Tea/coffee preparation items,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,coffee filters,"s and spoiled food Cooked meat (including bones) Seafood (including shellfish) Dirty, Soiled Paper: Greasy pizza boxes and paper bags Paper coffee filters and tea bags Paper plates Paper napkins, tissues, and paper towels Paper take-out boxes and containers Plants: All plant debris, including",Accepted broadly,"acceptable\s+composting\s+materials.{0,700}(?:b\.?p\.?i\.?\s+compostable\s+bags|bpi[- ]?certified).{0,500}(?:natural\s+fiber[- ]based\s+cups|plates|bowls|utensils|bagasse)","acceptable composting materials unacceptable materials food scraps: all fruits and vegetables (including pits and shells) coffee grounds and tea leaves dairy products (no liquids) eggshells and eggs leftovers and spoiled food cooked meat (including bones) seafood (including shellfish) dirty, soiled paper: greasy pizza boxes and paper bags paper coffee filters and tea bags paper plates paper napkins, tissues, and paper towels paper take-out boxes and containers plants: all plant debris, including flowers, leaves, weeds, and branches tree trimmings (less than 6” in diameter and 4' long) other: b.p.i. compostable bags natural fiber-based cups, plates, bowls, utensils (bamboo, wood, bagasse"
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Food-soiled paper / fibre packaging,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(food[- ]?soiled|soiled|greasy)\s+(paper|cardboard|fibre|fiber|napkin|paper\s*towel|pizza\s*box|paper\s*bag|food\s*wrapper|takeout\s*container)s?\b,soiled paper,"mirrors and windows Incandescent light bulbs, Fluorescent light bulbs and HIDs Plastic labeled “Compostable” or “Biodegradable” Scrap metal Soiled paper (paper plates, napkins, tissues, towels, take-out boxes, and greasy pizza boxes) Styrofoam Waxed cardboard Wood Yard trimmings Do You Have",Accepted broadly,"acceptable\s+composting\s+materials.{0,700}(?:b\.?p\.?i\.?\s+compostable\s+bags|bpi[- ]?certified).{0,500}(?:natural\s+fiber[- ]based\s+cups|plates|bowls|utensils|bagasse)","acceptable composting materials unacceptable materials food scraps: all fruits and vegetables (including pits and shells) coffee grounds and tea leaves dairy products (no liquids) eggshells and eggs leftovers and spoiled food cooked meat (including bones) seafood (including shellfish) dirty, soiled paper: greasy pizza boxes and paper bags paper coffee filters and tea bags paper plates paper napkins, tissues, and paper towels paper take-out boxes and containers plants: all plant debris, including flowers, leaves, weeds, and branches tree trimmings (less than 6” in diameter and 4' long) other: b.p.i. compostable bags natural fiber-based cups, plates, bowls, utensils (bamboo, wood, bagasse"
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Flexible films/wraps/pouches,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.","\b(mailer|postal\s*bag|e[- ]?commerce\s*packaging|garment\s*bag|poly\s*bag|protective\s*film|stretch\s*film|shrink\s*film|wrapper|wrap|pouch|pouches|wikkels|films?|folien|buste)\w*\b.{0,160}\b(compostable|biodegradable|bioplastic|compostabil|biodegradabil|organic waste|compost|brown\s+bin|green\s+cart)","wrappers, or film recyclable/clean cardboard or paper styrofoam palm fronds plywood, pressboard, painted or stained wood please do not leave extra compost","stic-backed paper Glass, metal, or plastic Soup cartons and juice boxes Paper milk, juice, and other beverage cartons Liquids Plastic bags, wrappers, or film Recyclable/clean cardboard or paper Styrofoam Palm fronds Plywood, pressboard, painted or stained wood Please do not leave extra compost outside of your cart! The lid on your cart must be fully clo",Accepted broadly,"acceptable\s+composting\s+materials.{0,700}(?:b\.?p\.?i\.?\s+compostable\s+bags|bpi[- ]?certified).{0,500}(?:natural\s+fiber[- ]based\s+cups|plates|bowls|utensils|bagasse)","acceptable composting materials unacceptable materials food scraps: all fruits and vegetables (including pits and shells) coffee grounds and tea leaves dairy products (no liquids) eggshells and eggs leftovers and spoiled food cooked meat (including bones) seafood (including shellfish) dirty, soiled paper: greasy pizza boxes and paper bags paper coffee filters and tea bags paper plates paper napkins, tissues, and paper towels paper take-out boxes and containers plants: all plant debris, including flowers, leaves, weeds, and branches tree trimmings (less than 6” in diameter and 4' long) other: b.p.i. compostable bags natural fiber-based cups, plates, bowls, utensils (bamboo, wood, bagasse"
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Food-service ware / takeaway packaging,Accepted,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",\b(food[- ]?service|serviceware|take[- ]?away|takeout|to[- ]?go|catering|event|festival|venue|closed[- ]?loop)\b,food service,"United States - Seattle, Washington - Seattle Public Utilities / municipal rule | Business & Commercial Compostables - Food Service Packaging Requirements | https://www.seattle.gov/utilities/your-services/collection-and-disposal/food-and-yard/business-and-commercial-comp",Accepted broadly,"\b(compostable|certified\s+compostable|bpi[- ]?certified)\b.{0,100}\b(serviceware|food[- ]?service|take[- ]?away|cups?|plates?|bowls?|containers?|cutlery|packaging)\b.{0,140}\b(accepted|allowed|permitted|can\s+(?:go|be\s+placed)|may\s+(?:go|be\s+placed)|place[d]?\s+in|put\s+in)\b.{0,100}\b(green\s+bin|brown\s+bin|organics?|organic\s+waste|food\s+waste|compost(?:ing)?)\b","compostable for onsite use and recyclable or compostable for take-away, this includes items such as plates, bowls, boats, trays, clamshells, containers, cups, straws, utensils, and other packaging and serveware products. single-use items that are not accepted in seattle's recycling and composting"
