citation_id,source_label,indicator,assigned_category,matched_regex_or_rule,matched_text,evidence_excerpt,coding_basis
[40],United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,en 13432,"ompostable packaging in your food waste bin. If using compostable liner, they must display the seedling logo. This shows that they meet the EN 13432 standard and are compostable. Why we are introducing food waste collections By using your food waste bin, you are helping to: reduce waste",regex_include_exclude
[40],United Kingdom - East Sussex - East Sussex County Council / municipal sorting rule,Rejection Rationale,Compost/digestate quality or contamination concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b,nutrient,"usehold produces 1.83kg of food waste each week. This is currently sent to waste incineration. Instead, we can recycle food waste to make a nutrient rich soil conditioner. This happens at Woodlands In-vessel Composting Facility in Whitesmith, near Lewes. You can buy this soil conditioner",regex_include_exclude
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Source Authority,Municipal sorting rule,,,United Kingdom - Cornwall - Cornwall Council / municipal sorting rule | Food waste | https://www.cornwall.gov.uk/rubbish-recycling-and-waste/recycling-and-rubbish-collections/how-to-use-your-new-food-waste-recycling-service/,source_label_priority
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,,,,fallback_default
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Acceptance,Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?","use a liner , you can put your food waste straight into your caddy if you'd prefer. many people choose to line their caddy with a compostable liner","If you’ve moved to a new build home , you’ll need to order food waste, recycling and rubbish containers for your property You don't have to use a liner , you can put your food waste straight into your caddy if you'd prefer. Many people choose to line their caddy with a compostable liner. Liners are separated from food waste at the start of the recycling process by a series of large metal paddles. If you live in a flat and",regex_include_exclude_context_checked
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,compostable,"'t have to use a liner , you can put your food waste straight into your caddy if you'd prefer. Many people choose to line their caddy with a compostable liner. Liners are separated from food waste at the start of the recycling process by a series of large metal paddles. If you live in a fl",regex_include_exclude
[41],United Kingdom - Cornwall - Cornwall Council / municipal sorting rule,Rejection Rationale,Compost/digestate quality or contamination concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b,soil,"anaerobic digestion facility in Holsworthy. There, it’s turned into renewable energy as well as a biofertiliser which can be used to improve soil quality. Find out more about what happens to your food waste Reduce your food waste The average family could reduce their food waste and",regex_include_exclude
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Source Authority,Municipal sorting rule,,,United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule | Food waste collection | https://www.portsmouth.gov.uk/services/recycling-and-rubbish/recycling/food-waste-collection-service/,source_label_priority
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Stated Organic-waste Treatment Route,AD/biogas only,\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|biokaas|biogaz|biogass|biogasanlegg|r[öo]tning|biog[öo]dsel|biog[øo]dning|digestate|厌氧|厭氧|沼气|沼氣)\b,anaerobic digestion,ration. Food waste collected in grey caddies is sent to a specialist facility where it’s broken down by micro-organisms in a process called anaerobic digestion (AD). The process creates a gas that can be used as fuel and a nutrient-rich material that can be used as fertilizer. For more information,regex_include_exclude
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Acceptance,Collection liners only,"\b(food[- ]?waste|bio[- ]?waste|organic\s*waste|kitchen\s*caddy)\b.{0,160}\b(compostable|biodegradable|paper)\s+(bag|liner|sack)s?",food waste what you cannot put in your caddies please do not put the following in your caddies: packaging of any kind (except compostable bag,"e, pasta and beans baked goods such as bread, cakes and pastries fruit and vegetables, including raw and cooked vegetables and peelings pet food waste What you cannot put in your caddies Please do not put the following in your caddies: packaging of any kind (except compostable bag to line the caddy) plastic bags glass liquids such as milk (these may leak during transport) cat litter or animal faeces compostable cutler",regex_include_exclude_context_checked
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,en13432,"f you use caddy liners, make sure they’re fully compostable and have the seedling logo, or say they are 100% compostable with the reference EN13432. You can also line it with newspaper, which will be composted. You do not have to use liners. You can wash the caddy regularly to keep it c",regex_include_exclude
[42],United Kingdom - Portsmouth - Portsmouth City Council / municipal sorting rule,Rejection Rationale,Compost/digestate quality or contamination concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b,nutrient,"it’s broken down by micro-organisms in a process called anaerobic digestion (AD). The process creates a gas that can be used as fuel and a nutrient-rich material that can be used as fertilizer. For more information on anaerobic digestion, visit The Official Information Portal on Anaerob",regex_include_exclude
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Source Authority,Municipal sorting rule,,,United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule | All about the new food waste service | https://www.lichfielddc.gov.uk/food-waste-3/food-waste/5,source_label_priority
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Stated Organic-waste Treatment Route,Treatment route not stated,,,,fallback_default
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Acceptance,Rejected,"please\s+do\s+not\s+use:.{0,260}compostable\s+bags.{0,220}(?:clog\s+up\s+the\s+machinery|aren[’']?t\s+composted|sent\s+to\s+be\s+incinerated)","please do not use: solid colour bags of waste - we need to be able to see the food waste inside bags. compostable bags, as they break down too quickly and clog up the machinery at the processing plant. they also aren't composted and are sent to be incinerated","caddy liners if you would prefer, but please make sure they are clear plastic, so we can check that the food waste inside can be recycled. Please do not use: Solid colour bags of waste - we need to be able to see the food waste inside bags. Compostable bags, as they break down too quickly and clog up the machinery at the processing plant. They also aren’t composted and are sent to be incinerated. Longer terms, when soft plastic recycling is introduced, the caddy liners will also be sent to be recycled. Why recycle your food waste? F",regex_include_exclude
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,compostable,"he food waste inside can be recycled. Please do not use: Solid colour bags of waste - we need to be able to see the food waste inside bags. Compostable bags, as they break down too quickly and clog up the machinery at the processing plant. They also aren’t composted and are sent to be incin",regex_include_exclude
[43],United Kingdom - Lichfield - Lichfield District Council / municipal sorting rule,Rejection Rationale,Pre-treatment/screening/equipment constraint,\b(pre[- ]?treatment|screening|screened\s+out|front[- ]?end|sorting\s+plant|shredder|sieve|sieving|pulper|separator|machine|pump|pipe|clog|jam|remove[d]?\s+before|sorted\s+out|mechanical\s+sorting|sorting\s+facility)\b,clog,"se: Solid colour bags of waste - we need to be able to see the food waste inside bags. Compostable bags, as they break down too quickly and clog up the machinery at the processing plant. They also aren’t composted and are sent to be incinerated. Longer terms, when soft plastic recycl",regex_include_exclude
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Source Authority,National rule or policy,,,Ireland - National brown-bin guidance - MyWaste / official national guidance | The brown bin | https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/,source_label_priority
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)\b.{0,180}\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b",composting site or to an anaerobic digestion,"lders can simply separate cooked and raw food and leave the bin out as part of your normal kerbside waste collection so it can be sent to a composting site or to an anaerobic digestion plant to make green energy. What goes in the brown bin? Food waste includes all cuttings, peels or leftovers from your kitchen like: Raw &",regex_include_exclude
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Acceptance,Accepted broadly,compostable\s+packaging\s*\(all\s+must\s+be\s+certified\s+to\s+en\s*13432\),compostable packaging (all must be certified to en13432),Bread Coffee grinds & tea bags Kitchen roll/tissue Meat & fish Light garden waste includes: Grass and plant clippings Twigs Small branches Compostable Packaging (all must be certified to EN13432): Takeaway cup Takeaway bowls Compostable cutlery Everyone everywhere is entitled to a brown bin collection service Brown bin collection ser,regex_include_exclude_context_checked
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Certification and Approval Basis,EN 13432 / OK compost / Seedling,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b,en13432,sue Meat & fish Light garden waste includes: Grass and plant clippings Twigs Small branches Compostable Packaging (all must be certified to EN13432): Takeaway cup Takeaway bowls Compostable cutlery Everyone everywhere is entitled to a brown bin collection service Brown bin collection se,regex_include_exclude
[44],Ireland - National brown-bin guidance - MyWaste / official national guidance,Rejection Rationale,Not applicable - not a rejection/restriction case,,,,derived_from_acceptance
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Source Authority,National rule or policy,,,Switzerland - Federal / local varies - FOEN/BAFU / federal guidance | Veröffentlicht am 24. März 2017 | https://www.bafu.admin.ch/de/biokunststoff-alles-abbaubar,source_label_priority
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Stated Organic-waste Treatment Route,AD/biogas + composting,"\b(anaerobic\s+digestion|\bAD\b|biogas|biomethane|methani[sz]ation|m[ée]thanisation|biom[ée]thanisation|verg[äa]rung|vergisting|r[öo]tning|digestate|biog[öo]dsel|biog[øo]dning)\b.{0,180}\b(compost|composting|kompost|compostaggio|compostaje|compostagem|kompostering|kompostointi|kompostiranje|κομποστοποίηση|堆肥|퇴비)",vergärung in der biogasanlage entsteht neben dem stofflich verwertbaren gärgut wertvolle erneuerbare energie: das biogas. das grüngut wird auch in form von kompost,"er mehr Grünabfälle werden verwertet. Bereits 85 Prozent der gesamten Grünabfallmenge gelangt in Kompostier- und Vergärungsanlagen. Bei der Vergärung in der Biogasanlage entsteht neben dem stofflich verwertbaren Gärgut wertvolle erneuerbare Energie: das Biogas. Das Grüngut wird auch in Form von Kompost oder festem Gärgut als Dünger und Bodenverbesserer in der Landwirtschaft verwendet. Grüngut separat sammeln macht Sinn, denn damit werden S",regex_include_exclude
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Acceptance,Rejected,"(plastik|kunststoff|bioplastik|biokunststoff|kompostierbare?\w*\s+(biobeutel|beutel|t[üu]ten)|verpackungen|folien|t[üu]ten).{0,180}(d[üu]rfen\s+nicht|geh[öo]ren\s+nicht|nicht\s+in\s+(die\s+)?biotonne|darf\s+nicht\s+rein|kein\s+plastik|verboten|nicht\s+ausreichend)","kunststoff, also mit den herkömmlichen verpackungen, hergestellt aus erdöl. diese gehören nicht","ändig abgebaut sind, was zu Problemen in der Recycling- und Entsorgungsbranche führt. Zudem besteht eine Verwechslungsgefahr mit «normalem» Kunststoff, also mit den herkömmlichen Verpackungen, hergestellt aus Erdöl. Diese gehören nicht in die Kompostierungs- und Vergärungsanlagen. Das vorliegende Dossier, ergänzt mit der Studie «BAW vergären & kompostieren?», bietet eine Ü",regex_include_exclude
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,kompostierbar,t jeweils zwei unterschiedlichen Bezeichnungen: «bio-basiert» oder «aus erneuerbaren Ressourcen» einerseits und «biologisch abbaubar» oder «kompostierbar» andererseits. Nicht alle Biokunststoffe sind auch tatsächlich biologisch abbaubar und können kompostiert oder vergärt werden. Das verwirrt,regex_include_exclude
[45],Switzerland - Federal / local varies - FOEN/BAFU / federal guidance,Rejection Rationale,AD/biogas incompatibility,"\b(anaerobic\s+digestion|\bAD\b|biogas|digest(?:ion|er)|m[ée]thanisation|methani[sz]ation|verg[äa]rung|biokaas|bioverg[äa]rungsanlage|biogass|biogasanlegg|biogödsel|biogødning)\b.{0,240}\b(compostable|biodegradable|bag|liner|plastic|packaging|break\s+down|clog|screen|reject|incompatib|problem)",biogas- und kompostieranlagen kein problem,"t, die BAW Grünabfallbeutel mit Gitterdruck zu kennzeichnen. Abfallbeutel mit Gitterdruck und andere Gitterdrucksäcke sind für industrielle Biogas- und Kompostieranlagen kein Problem. Wo sie nicht vollständig vergärbar sind, können sie mehrheitlich durch die nachfolgende Siebung, Kompostierung oder mechanische Trennung e",regex_include_exclude
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Source Authority,Waste operator or treatment-facility rule,,,"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance | What Goes Where | https://www.recology.com/recology-san-francisco/what-goes-where/",source_label_priority
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,"t how to properly dispose of your items below. COMPOST RECYCLE LANDFILL NO BIN We accept food scraps, soiled paper, and plants in the green composting cart. Contact us with any questions on sorting. Acceptable Composting Materials Unacceptable Materials Food Scraps: All fruits and vegetabl",regex_include_exclude
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Acceptance,Accepted broadly,"acceptable\s+composting\s+materials.{0,700}(?:b\.?p\.?i\.?\s+compostable\s+bags|bpi[- ]?certified).{0,500}(?:natural\s+fiber[- ]based\s+cups|plates|bowls|utensils|bagasse)","acceptable composting materials unacceptable materials food scraps: all fruits and vegetables (including pits and shells) coffee grounds and tea leaves dairy products (no liquids) eggshells and eggs leftovers and spoiled food cooked meat (including bones) seafood (including shellfish) dirty, soiled paper: greasy pizza boxes and paper bags paper coffee filters and tea bags paper plates paper napkins, tissues, and paper towels paper take-out boxes and containers plants: all plant debris, including flowers, leaves, weeds, and branches tree trimmings (less than 6” in diameter and 4' long) other: b.p.i. compostable bags natural fiber-based cups, plates, bowls, utensils (bamboo, wood, bagasse","CLE LANDFILL NO BIN We accept food scraps, soiled paper, and plants in the green composting cart. Contact us with any questions on sorting. Acceptable Composting Materials Unacceptable Materials Food Scraps: All fruits and vegetables (including pits and shells) Coffee grounds and tea leaves Dairy products (no liquids) Eggshells and eggs Leftovers and spoiled food Cooked meat (including bones) Seafood (including shellfish) Dirty, Soiled Paper: Greasy pizza boxes and paper bags Paper coffee filters and tea bags Paper plates Paper napkins, tissues, and paper towels Paper take-out boxes and containers Plants: All plant debris, including flowers, leaves, weeds, and branches Tree trimmings (less than 6” in diameter and 4’ long) Other: B.P.I. Compostable bags Natural fiber-based cups, plates, bowls, utensils (Bamboo, wood, Bagasse) Cooking grease: Small amounts can be soaked up with a paper towel and composted. Corks (no plastic) Vegetable wood crates Waxed cardboard",regex_include_exclude_context_checked
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Certification and Approval Basis,Generic compostable/biodegradable wording only,\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b,compostable,"lants: All plant debris, including flowers, leaves, weeds, and branches Tree trimmings (less than 6” in diameter and 4’ long) Other: B.P.I. Compostable bags Natural fiber-based cups, plates, bowls, utensils (Bamboo, wood, Bagasse) Cooking grease: Small amounts can be soaked up with a paper",regex_include_exclude
[46],"United States - San Francisco, California - Recology SF + SF Environment / waste company + ordinance",Rejection Rationale,Not applicable - not a rejection/restriction case,,,,derived_from_acceptance
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Source Authority,Municipal sorting rule,\b(city|municipal|municipality|commune|gemeente|gemeinde|borough|district|council|town|ville|stadt|ayuntamiento|comune|cidade|municipio|município|municipalidad|ciudad|miasto|urząd|alcald[ií]a|oslo|berlin|munich|hamburg|cologne|amsterdam|vienna|milan|barcelona|vigo|toronto|seattle|austin|san francisco|tokyo|seoul|prague|alimos|riga|krak[oó]w|toru[nń]|warsaw|bratislava|vilnius|ljubljana|maribor|christchurch|auckland|vitacura|las\s+palmas|brno|copenhagen|reykjav[ií]k|portland|new\s+york\s+city|minamata|zushi|providencia|santa\s+juana|wrocław|wroclaw)\b,seattle,"United States - Seattle, Washington - Seattle Public Utilities / municipal rule | Business & Commercial Compostables - Food Service Packaging Requirements | https:",metadata_regex + fallback_from_source_label
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,"ners, cups, straws, utensils, and other packaging and serveware products. Single-use items that are not accepted in Seattle’s recycling and composting programs are not allowed. Single-use items used for on-premises food service must be approved and labeled compostable. These requirements a",regex_include_exclude
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Acceptance,Accepted broadly,"\b(compostable|certified\s+compostable|bpi[- ]?certified)\b.{0,100}\b(serviceware|food[- ]?service|take[- ]?away|cups?|plates?|bowls?|containers?|cutlery|packaging)\b.{0,140}\b(accepted|allowed|permitted|can\s+(?:go|be\s+placed)|may\s+(?:go|be\s+placed)|place[d]?\s+in|put\s+in)\b.{0,100}\b(green\s+bin|brown\s+bin|organics?|organic\s+waste|food\s+waste|compost(?:ing)?)\b","compostable for onsite use and recyclable or compostable for take-away, this includes items such as plates, bowls, boats, trays, clamshells, containers, cups, straws, utensils, and other packaging and serveware products. single-use items that are not accepted in seattle's recycling and composting","od service businesses to use reusable serveware or if using single-use food service packaging and serviceware, the single-use items must be compostable for onsite use and recyclable or compostable for take-away, This includes items such as plates, bowls, boats, trays, clamshells, containers, cups, straws, utensils, and other packaging and serveware products. Single-use items that are not accepted in Seattle’s recycling and composting programs are not allowed. Single-use items used for on-premises food service must be approved and labeled compostable. These requirements a",regex_include_exclude_context_checked
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Certification and Approval Basis,BPI / ASTM / CMA,\bbpi\b|\bbiodegradable\s+products\s+institute\b,bpi,ifiable” and certified by a third-party as compostable. Search for certified compostable products and request info about product testing via BPI and CMA . Caution: A large number of products advertised as “biodegradable” are not compostable. Use of the term “biodegradable” and simil,regex_include_exclude
[47],"United States - Seattle, Washington - Seattle Public Utilities / municipal rule",Rejection Rationale,Not applicable - not a rejection/restriction case,,,,derived_from_acceptance
[48],"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Source Authority,"State, provincial, regional, or canton rule",,,"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance | Environment | https://www.hennepincounty.gov/services/environment/recycling/at-home-recycling/organics-recycling-home",source_label_priority
[48],"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,"organics recycling guide (PDF, 1MB) for the list of what's accepted. These items can be successfully broken down by microbes at commercial composting facilities and turned into nutrient-rich compost that is used to improve soil in gardens, farms, and landscaping projects. The guide also i",regex_include_exclude
[48],"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Acceptance,Accepted broadly,"\b(certified\s+compostable|bpi[- ]?certified)\b.{0,120}\b(cups?|plates?|bowls?|containers?|cutlery|serviceware|packaging)\b.{0,160}\b(accepted|allowed|permitted|green\s+bin|brown\s+bin|organics\s+bin)","bpi certified on the product or its container) food-soiled pizza boxes from delivery (clean, empty, and grease-free pizza boxes may be accepted","pted: BPI certified compostable products including cups, plates, bowls, containers, parchment, and wax paper (must have the BPI logo or say BPI certified on the product or its container) Food-soiled pizza boxes from delivery (clean, empty, and grease-free pizza boxes may be accepted for recycling by your program. Remove sticker labels.) Napkins and food-soiled paper towels Paper bags soiled with food or grease (if they",regex_include_exclude_context_checked
[48],"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Certification and Approval Basis,BPI / ASTM / CMA,\bbpi\b|\bbiodegradable\s+products\s+institute\b,bpi,"ne that is deadly to many plants) Chewing gum Grease, oil, or other liquids (small amounts are okay) Paper products and packaging Accepted: BPI certified compostable products including cups, plates, bowls, containers, parchment, and wax paper (must have the BPI logo or say BPI certi",regex_include_exclude
[48],"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Rejection Rationale,Not applicable - not a rejection/restriction case,,,,derived_from_acceptance
[49],United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Source Authority,"State, provincial, regional, or canton rule",,,United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance | Why should I take advantage of organics recycling in my community? | https://www.pca.state.mn.us/air-water-land-climate/frequently-asked-questions-about-organics-recycling,source_label_priority
[49],United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,"nic materials, including food and compostable packaging, make up about 25 percent of the trash stream. Diverting organics from our trash to composting facilities will slow down the rate at which our landfills are growing and will avoid the long-term costs and environmental consequences to",regex_include_exclude
[49],United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Acceptance,No clear organics route,"\b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b","not yet have access to curbside organics recycling. check with your county, city, or residential waste hauler to see if curbside service or drop-site service","y offered organics recycling. How can I participate in curbside organics recycling? Each community is different. Many parts of the state do not yet have access to curbside organics recycling. Check with your county, city, or residential waste hauler to see if curbside service or drop-site service is available in your area. What items can I place in my organics? Organic recycling programs typically collect: all food including meat, da",regex_include_exclude
[49],United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Certification and Approval Basis,BPI / ASTM / CMA,\bbpi\b|\bbiodegradable\s+products\s+institute\b,bpi,"er towels, and paper egg cartons certified compostable products including paper plates, cups, bowls, containers, and utensils that have the BPI logo showing they are certified as compostable other compostable items including coffee grounds and filters; hair and nail clippings; cotto",regex_include_exclude
[49],United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Rejection Rationale,No compatible organic-treatment route,"\b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b","not yet have access to curbside organics recycling. check with your county, city, or residential waste hauler to see if curbside service or drop-site service","y offered organics recycling. How can I participate in curbside organics recycling? Each community is different. Many parts of the state do not yet have access to curbside organics recycling. Check with your county, city, or residential waste hauler to see if curbside service or drop-site service is available in your area. What items can I place in my organics? Organic recycling programs typically collect: all food including meat, da",regex_include_exclude
[50],"United States - Woodland, California - City of Woodland / municipal sorting rule",Source Authority,Municipal sorting rule,,,"United States - Woodland, California - City of Woodland / municipal sorting rule | Skip to Main Content | https://www.cityofwoodland.gov/731/Residential-Organics-Recycling",source_label_priority
[50],"United States - Woodland, California - City of Woodland / municipal sorting rule",Stated Organic-waste Treatment Route,Composting,\b(composting|compost\s+facility|industrial\s+compost|in[- ]?vessel\s+compost|IVC|compostage|compostaggio|compostaje|compostagem|kompostierung|kompostering|kompostointi|kompostiranje|composteerinstallatie|composteerbaar|kompostownia|κομποστοποίηση|κομπόστ|堆肥化|堆肥|퇴비화|퇴비|kompostitav\w*)\b,composting,"to Main Content | https://www.cityofwoodland.gov/731/Residential-Organics-Recycling yard waste, will be taken to the Yolo County Landfill's composting facility to be processed into compost! Separating food scraps and food-soiled paper is easy and will help Woodland and California reach our",regex_include_exclude
[50],"United States - Woodland, California - City of Woodland / municipal sorting rule",Acceptance,Collection liners only,"\b(use|can\s+use|may\s+use|allowed\s+to\s+use|line|pack|collect|wrap)\b.{0,160}\b(compostable|bioplastic|biodegradable|paper)\s+(bag|liner|sack)s?","line it: if you decide to line your collection bin, use paper bags, newspaper, or bpi-certified compostable liners","in an old coffee can or bucket. Place under sink or counter for easy access. Empty it: Empty your food scrap bin frequently to reduce odors. Line it: If you decide to line your collection bin, use paper bags, newspaper, or BPI-certified compostable liners. Learn how to fold a newspaper liner for your food scrap bin (PDF) . Wrap it: Wrap meat and leftovers in newspaper before placing them in",regex_include_exclude_context_checked
[50],"United States - Woodland, California - City of Woodland / municipal sorting rule",Certification and Approval Basis,BPI / ASTM / CMA,\bbpi\b|\bbiodegradable\s+products\s+institute\b,bpi,"cycle 75% of our waste by 2025. Organics carts are serviced once a week year-round, on the same day as your trash and recycle cart pick-up. BPI Certified green bags are acceptable. Your organics cart must not contain limbs over 5 feet long, large stumps, metal, concrete, gravel, or",regex_include_exclude
