section,indicator,question_answered,category,definition,included_examples,excluded_examples,include_regex_examples,exclude_regex_examples,regex_or_rule_examples,coding_basis,priority_or_mapping_note
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",BPI / ASTM / CMA,North American industrial compostability certification or acceptance programmes are mentioned.,"BPI, ASTM D6400, ASTM D6868, Compost Manufacturing Alliance",European EN/OK compost-only evidence without BPI/ASTM/CMA,\bbpi\b|\bbiodegradable\s+products\s+institute\b | \bastm\s*d\s*6400\b|\bd\s*6400\b | \bastm\s*d\s*6868\b|\bd\s*6868\b | \b(?:cma[- ]?(?:certified|accepted|approved)|compost\s+manufacturing\s+alliance)\b,No category-specific exclude regex.,INCLUDE: \bbpi\b|\bbiodegradable\s+products\s+institute\b | \bastm\s*d\s*6400\b|\bd\s*6400\b | \bastm\s*d\s*6868\b|\bd\s*6868\b | \b(?:cma[- ]?(?:certified|accepted|approved)|compost\s+manufacturing\s+alliance)\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",EN 13432 / OK compost / Seedling,European/industrial compostability standards and labels are mentioned.,"EN 13432, OK compost, Seedling/Keimling/Kiemplant, DIN CERTCO, Compostabile CIC",home-only standard or North American BPI/ASTM-only evidence,\b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b | \beuropean\s+standard\s+en\s*13432\b | \bok\s*compost(?!\s*home)\b | \bseedling\b|\bkeimling\b|\bkiemplant(?:logo)?\b,No category-specific exclude regex.,INCLUDE: \b(en|din\s*en|uni\s*en|bs\s*en|nf\s*en)?\s*13432\b | \beuropean\s+standard\s+en\s*13432\b | \bok\s*compost(?!\s*home)\b | \bseedling\b|\bkeimling\b|\bkiemplant(?:logo)?\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",Country-specific standards/certifications (BNQ / AS 4736 / DINplus),"Country-specific compostability standards, certification schemes, or stricter national add-ons are mentioned.","BNQ, AS 4736, DINplus, JIS, or other country-specific compostability standards/certifications",generic industrial standard with no country-specific standard/certification cue,\bas\s*4736\b | \bbnq\b|\bcan/bnq\b | \bdinplus\b | \bnmx\b|\bks\s*[a-z]?\s*\d{4}|\bjis\b,No category-specific exclude regex.,INCLUDE: \bas\s*4736\b | \bbnq\b|\bcan/bnq\b | \bdinplus\b | \bnmx\b|\bks\s*[a-z]?\s*\d{4}|\bjis\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",Government/programme-approved,"Acceptance is tied to an official, designated, positive-list, or programme-approved item rather than generic certification alone.",official/provided/approved bag or programme-approved product,generic compostable wording with no official/designated/programme approval cue,"\b(official|approved|designated|provided|supplied|distributed|council[- ]?supplied|municipal[- ]?supplied|city[- ]?supplied|programme[- ]?approved|program[- ]?approved)\b.{0,120}\b(bag|liner|sack|item|product)s?\b | \b(grid[- ]?print|lattice[- ]?print|printed)\s*bio\s*bag\b | (専用袋|指定袋|市が回収|전용봉투|종량제봉투|专用袋|專用袋|orange\s+bag|oranžin\w*\s+maišel\w*)",No category-specific exclude regex.,"INCLUDE: \b(official|approved|designated|provided|supplied|distributed|council[- ]?supplied|municipal[- ]?supplied|city[- ]?supplied|programme[- ]?approved|program[- ]?approved)\b.{0,120}\b(bag|liner|sack|item|product)s?\b | \b(grid[- ]?print|lattice[- ]?print|printed)\s*bio\s*bag\b | (専用袋|指定袋|市が回収|전용봉투|종량제봉투|专用袋|專用袋|orange\s+bag|oranžin\w*\s+maišel\w*) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",Generic compostable/biodegradable claim only,Only a generic compostable/biodegradable claim is present; no named standard or approval basis is detected.,"compostable, biodegradable, biohajoava, kompostierbar without named standard","named standard, certification, or official approval basis",\b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b | (可堆肥|可生物降解|可降解|生分解|생분해),No category-specific exclude regex.,INCLUDE: \b(compostable|biodegradable|industrially\s+compostable|certified\s+compostable|composteerbaar\w*|kompostierbar\w*|compostabil\w*|biod[ée]gradable\w*|biohajoava|kompostoituva|biolagunev\w*|biolo[šs]ko\s+razgradljiv\w*|kompostowaln\w*|biodegradowaln\w*)\b | (可堆肥|可生物降解|可降解|生分解|생분해) ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 6; exclusions are evaluated before inclusion for this category.
Source-level indicator,Certification and Approval Basis,"What standard, certification, label, or approval basis is mentioned as the upstream product-qualification or approval signal?",No standard stated,"No named standard, certification, label, or programme/facility approval basis is detected.",no EN/BPI/OK compost/home-compostability or approval basis detected,"any named standard, mark, certification, or approval basis",No direct include regex: category is assigned by fallback/default or derived mapping.,No category-specific exclude regex.,INCLUDE: No direct include regex: category is assigned by fallback/default or derived mapping. ; EXCLUDE: No category-specific exclude regex.,fallback_default,Priority 7; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,No compatible organic-treatment route,No compatible collection/treatment route is identified for compostable packaging.,no facility/infrastructure/service able to handle compostable packaging,specific route exists for accepted compostable items,"\b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b | \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(industrial\s+composting|composting\s+facility|anaerobic\s+digestion|ad\s+facility)\b | large[- ]?scale\s+composting\s+facilities.{0,120}do\s+not\s+yet\s+exist | \bno\s+(accepted|available|suitable|compatible|clear)\s+(route|collection|treatment|facility|system)\b",No category-specific exclude regex.,"INCLUDE: \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(organic\s*waste|food\s*waste|biowaste|bio[- ]?waste|organics)\b.{0,120}\b(collection|route|service|infrastructure|facility|treatment|system)\b | \b(no|not|without|lack(?:ing)?)\b.{0,120}\b(industrial\s+composting|composting\s+facility|anaerobic\s+digestion|ad\s+facility)\b | large[- ]?scale\s+composting\s+facilities.{0,120}do\s+not\s+yet\s+exist | \bno\s+(accepted|available|suitable|compatible|clear)\s+(route|collection|treatment|facility|system)\b ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,AD/biogas incompatibility,The rationale specifically concerns AD/biogas compatibility.,biogas/AD process incompatible; clogs pipes; not designed for anaerobic digestion,ordinary composting residence-time problem,"\b(anaerobic\s+digestion|\bAD\b|biogas|digest(?:ion|er)|m[ée]thanisation|methani[sz]ation|verg[äa]rung|biokaas|bioverg[äa]rungsanlage|biogass|biogasanlegg|biogödsel|biogødning)\b.{0,240}\b(compostable|biodegradable|bag|liner|plastic|packaging|break\s+down|clog|screen|reject|incompatib|problem) | \b(compostable|biodegradable|bag|liner|plastic|packaging)\b.{0,240}\b(anaerobic\s+digestion|\bAD\b|biogas|digest(?:ion|er)|m[ée]thanisation|methani[sz]ation|verg[äa]rung|biogass|biogas)",No category-specific exclude regex.,"INCLUDE: \b(anaerobic\s+digestion|\bAD\b|biogas|digest(?:ion|er)|m[ée]thanisation|methani[sz]ation|verg[äa]rung|biokaas|bioverg[äa]rungsanlage|biogass|biogasanlegg|biogödsel|biogødning)\b.{0,240}\b(compostable|biodegradable|bag|liner|plastic|packaging|break\s+down|clog|screen|reject|incompatib|problem) | \b(compostable|biodegradable|bag|liner|plastic|packaging)\b.{0,240}\b(anaerobic\s+digestion|\bAD\b|biogas|digest(?:ion|er)|m[ée]thanisation|methani[sz]ation|verg[äa]rung|biogass|biogas) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Slow degradation / residence-time mismatch,Item is rejected because it degrades more slowly than the facility process.,does not break down in time; too slow; short residence time; incomplete degradation,"rejection based only on law/list, not degradation time","\b(residence\s*time|retention\s*time|process\s*time|degradation\s+time|decompose\s+in\s+time|break\s+down\s+in\s+time|too\s+slow|slow\s+decomposition|does\s+not\s+break\s+down|not\s+break\s+down|incomplete\s+(breakdown|degradation)|not\s+fully\s+(degrade|decompose)|6[- ]?week|12[- ]?week|longer\s+than\s+the\s+process)\b | (rottezeit|zersetzungszeit|nicht\s+sicher\s+vollst[äa]ndig\s+biologisch\s+abgebaut|langer\s+dan\s+het\s+proces|proces\s+te\s+kort|te\s+langzaam\s+af|breekt\s+te\s+langzaam|langzaam\s+afbre|biohajoava.{0,80}hidas|hitaan\s+maatumis|ikke\s+brytes\s+ned|brytes\s+ikke\s+ned|inte\s+bryts\s+ner|för\s+långsamt|nedbrytning|분해|퇴비화할|可降解塑料袋.{0,80}降解的速度比厨余垃圾慢)",No category-specific exclude regex.,"INCLUDE: \b(residence\s*time|retention\s*time|process\s*time|degradation\s+time|decompose\s+in\s+time|break\s+down\s+in\s+time|too\s+slow|slow\s+decomposition|does\s+not\s+break\s+down|not\s+break\s+down|incomplete\s+(breakdown|degradation)|not\s+fully\s+(degrade|decompose)|6[- ]?week|12[- ]?week|longer\s+than\s+the\s+process)\b | (rottezeit|zersetzungszeit|nicht\s+sicher\s+vollst[äa]ndig\s+biologisch\s+abgebaut|langer\s+dan\s+het\s+proces|proces\s+te\s+kort|te\s+langzaam\s+af|breekt\s+te\s+langzaam|langzaam\s+afbre|biohajoava.{0,80}hidas|hitaan\s+maatumis|ikke\s+brytes\s+ned|brytes\s+ikke\s+ned|inte\s+bryts\s+ner|för\s+långsamt|nedbrytning|분해|퇴비화할|可降解塑料袋.{0,80}降解的速度比厨余垃圾慢) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Pre-treatment/screening/equipment constraint,"Mechanical sorting, pre-treatment, screening, or equipment constraints are given.","clogging, jamming, shredders, equipment disruption, operational problems",legal exclusion with no equipment/process-disruption wording,\b(pre[- ]?treatment|screening|screened\s+out|front[- ]?end|sorting\s+plant|shredder|sieve|sieving|pulper|separator|machine|pump|pipe|clog|jam|remove[d]?\s+before|sorted\s+out|mechanical\s+sorting|sorting\s+facility)\b | (voorbehandeling|esik[äa]sittely|murskain|siebung|seulage|tamisage|시설|설비\s*고장|처리시설|분쇄|기계\s*부품|엉킴|纏繞後端處理設施|缠绕后端处理设施),No category-specific exclude regex.,INCLUDE: \b(pre[- ]?treatment|screening|screened\s+out|front[- ]?end|sorting\s+plant|shredder|sieve|sieving|pulper|separator|machine|pump|pipe|clog|jam|remove[d]?\s+before|sorted\s+out|mechanical\s+sorting|sorting\s+facility)\b | (voorbehandeling|esik[äa]sittely|murskain|siebung|seulage|tamisage|시설|설비\s*고장|처리시설|분쇄|기계\s*부품|엉킴|纏繞後端處理設施|缠绕后端处理设施) ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Compost/digestate quality or contamination concern,"Concern about compost/digestate quality, contamination, microplastics, residues, or chemical/additive contamination.","compost/digestate quality, soil contamination, visual contamination, agricultural use concern",equipment disruption without quality/digestate/soil concern,\b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b | \b(pfas|additive|chemical|toxic|toxicity|heavy\s+metal|fluorinated|substance|contaminant\s+chemicals?|harmful\s+substances?)\b | (mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질),No category-specific exclude regex.,INCLUDE: \b(compost\s+quality|digestate\s+quality|microplastic|microplastics|contamination|contaminant|foreign\s+matter|residue|pollutant|clean\s+compost|soil|agricultural\s+use|quality\s+standard|fertiliser|fertilizer|impurity|physical\s+contamination|quality\s+control|nutrient|nutritional\s+value|soil\s+amendment)\b | \b(pfas|additive|chemical|toxic|toxicity|heavy\s+metal|fluorinated|substance|contaminant\s+chemicals?|harmful\s+substances?)\b | (mikroplastik|fremdstoff|st[öo]rstoff|vervuiling|verontreiniging|schone\s+compost|kwaliteit|schadelijke\s+stoffen|compostkwaliteit|bodem|meststof|fertilisant|engrais|qualit[ée]|inquinant|퇴비|비료|품질) ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Explicit no-packaging / positive-list restriction,"Rejection or restriction follows from a legal rule, positive list, named-item rule, or explicit no-packaging rule.","explicit no-packaging rule, positive-list restriction, or named-item/legal exclusion",facility-process rejection without legal/list/no-packaging cue,"\b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd) | \b(law|regulation|ordinance|decree|directive|bylaw|statute|permitted\s+items\s+only|not\s+on\s+the\s+list|not\s+listed)\b.{0,180}\b(compostable|biodegradable|packaging|plastic|bag|liner|item|product) | \b(no|not|without|remove|separate(d)?\s+from|must\s+be\s+separated\s+from)\b.{0,90}\b(packaging|package|container|wrapping|envase|embalaje|emballage|verpakking|förpackning|forpakning|pakend)\b",No category-specific exclude regex.,"INCLUDE: \b(positive\s+list|approved\s+(product|item|list)|accepted\s+product\s+list|whitelist|named\s+items?|specific(?:ally)?\s+approved|only\s+(listed|named|specified|approved)|not\s+on\s+the\s+list|non\s+list[ée]s?)\b | \b(only|solo|seulement|nur|alleen)\b.{0,120}\b(approved|listed|named|specific|official|designated|autoris[ée]s?|zugelassen|goedgekeurd) | \b(law|regulation|ordinance|decree|directive|bylaw|statute|permitted\s+items\s+only|not\s+on\s+the\s+list|not\s+listed)\b.{0,180}\b(compostable|biodegradable|packaging|plastic|bag|liner|item|product) | \b(no|not|without|remove|separate(d)?\s+from|must\s+be\s+separated\s+from)\b.{0,90}\b(packaging|package|container|wrapping|envase|embalaje|emballage|verpakking|förpackning|forpakning|pakend)\b ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 8; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Reason not explicitly stated,"The source rejects or restricts items, but no specific rationale is detected.",rejection detected but no specific mechanism stated,a specific rationale cue is detected,No direct include regex: category is assigned by fallback/default or derived mapping.,No category-specific exclude regex.,INCLUDE: No direct include regex: category is assigned by fallback/default or derived mapping. ; EXCLUDE: No category-specific exclude regex.,fallback_default,Priority 9; exclusions are evaluated before inclusion for this category.
Source-level indicator,Rejection Rationale,Why are compostable packaging/items rejected or restricted?,Not applicable - not a rejection/restriction case,The source is not coded as rejecting or restricting compostable packaging/items.,source does not reject or restrict compostable packaging/items,source is coded as rejected/restricted with a rationale,No direct include regex: category is assigned by fallback/default or derived mapping.,No category-specific exclude regex.,INCLUDE: No direct include regex: category is assigned by fallback/default or derived mapping. ; EXCLUDE: No category-specific exclude regex.,derived_from_acceptance,Priority 10; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Food-waste liners / collection bags,"Bags or liners used to collect food waste, biowaste, or kitchen/caddy organics.","caddy liner, food-waste bag, biobag, collection liner, biojätepussi",carrier/produce bags unless linked to food-waste collection; general packaging,"\b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b | \b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b | (生ごみ|厨余|廚餘|餐厨|음식물쓰레기|음식물류).{0,80}(袋|봉투|专用袋|專用袋|専用袋|전용봉투) | \b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b",\b(produce\s*bag|fruit\s*(and|&|/)\s*vegetable\s*bag|shopping\s*bag|carrier\s*bag|checkout\s*bag|retail\s*bag),"INCLUDE: \b(caddy\s*liner|kitchen\s*caddy|food[- ]?waste\s*(bag|liner)|bio\s*bag|biobag|compostable\s*(bag|liner)|green\s*bag|brown\s*bag|collection\s*(bag|liner)|organic\s*waste\s*bag|organics\s*bag|biowaste\s*bag|food\s*scraps?\s*bag)s?\b | \b(sac[s]?\s+(compostable|biod[ée]gradable)|sacco\s+compostabile|sacchetti\s+compostabil\w*|bolsa\s+compostable|bolsas\s+compostables|sacos?\s+compost[áa]veis|kompostierbare?\w*\s+(beutel|t[üu]ten|biobeutel)|composteerbare?\w*\s+(zak|zakken|zakjes)|biozak\w*|bioposer|matavfallsp[åa]sar|bioavfallsp[åa]sar|bioj[äa]tepussi|vre[čc]ke|worki|s[áa][čc]ky)\b | (生ごみ|厨余|廚餘|餐厨|음식물쓰레기|음식물류).{0,80}(袋|봉투|专用袋|專用袋|専用袋|전용봉투) | \b(food[- ]?waste|kitchen|caddy|organics?|organic[- ]?waste|bio[- ]?waste)\s+(caddy\s+)?(bag|liner|sack)s?\b.{0,140}\b(can|may|must|should|accepted|allowed|permitted|collected|used|use)\b ; EXCLUDE: \b(produce\s*bag|fruit\s*(and|&|/)\s*vegetable\s*bag|shopping\s*bag|carrier\s*bag|checkout\s*bag|retail\s*bag)",regex_include_exclude,Priority 1; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Food-service ware / takeaway packaging,"Food-service ware / takeaway packaging and serviceware such as cups, plates, bowls, trays, cutlery, containers, takeaway items, and event/venue serviceware.","compostable cups, plates, bowls, trays, cutlery, food-service containers","tea/coffee preparation items, liners, generic packaging without food-service item cue","\b(food[- ]?service|serviceware|take[- ]?away|takeout|to[- ]?go|catering|event|festival|venue|closed[- ]?loop)\b | \b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|stoviglie|posate|bicchieri|piatti|contenitori|kahvimuki|kertak[äa]ytt[öo]astia|vaisselle|gobelets?|assiettes?|couverts?|vasos?|platos?|cubiertos?)\w*\b.{0,140}\b(compostable|biodegradable|compostabil|biodegradabil|organic|umido|compost|biohajoava|kompostoituva) | \b(compostable|biodegradable|compostabil|biohajoava|kompostoituva)\b.{0,140}\b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|serviceware|takeaway|vaisselle|gobelets?|assiettes?|couverts?)",\bcoffee\s+(filter|pod|capsule)|tea\s*bag|teabag\b,"INCLUDE: \b(food[- ]?service|serviceware|take[- ]?away|takeout|to[- ]?go|catering|event|festival|venue|closed[- ]?loop)\b | \b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|stoviglie|posate|bicchieri|piatti|contenitori|kahvimuki|kertak[äa]ytt[öo]astia|vaisselle|gobelets?|assiettes?|couverts?|vasos?|platos?|cubiertos?)\w*\b.{0,140}\b(compostable|biodegradable|compostabil|biodegradabil|organic|umido|compost|biohajoava|kompostoituva) | \b(compostable|biodegradable|compostabil|biohajoava|kompostoituva)\b.{0,140}\b(cup|plate|bowl|tray|container|cutlery|fork|spoon|knife|straw|lid|serviceware|takeaway|vaisselle|gobelets?|assiettes?|couverts?) ; EXCLUDE: \bcoffee\s+(filter|pod|capsule)|tea\s*bag|teabag\b",regex_include_exclude,Priority 2; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Tea/coffee preparation items,"Tea bags, coffee filters, coffee pods/capsules, and related beverage-preparation items.","tea bags, coffee filters, coffee pods/capsules",generic cups or containers not used for tea/coffee preparation,\b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b,No category-specific exclude regex.,INCLUDE: \b(tea\s*bag|teabag|coffee\s*filter|coffee\s*(pod|capsule)|k[- ]?cup|espresso\s*capsule|teebeutel|kaffeefilter|theezakjes?|koffiefilters?|sachet[s]?\s+de\s+th[ée]|filtre[s]?\s+.*caf[ée]|capsule[s]?\s+de\s+caf[ée])s?\b ; EXCLUDE: No category-specific exclude regex.,regex_include_exclude,Priority 3; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Food-soiled paper / fibre packaging,"Food-soiled or uncoated paper/fibre packaging and paper items, e.g. pizza boxes, napkins, paper towels, paper bags, and fibre food packaging.","pizza boxes, napkins, paper towels, soiled paper/cardboard, fibre food packaging","research papers, source documents, generic paper/cardboard recycling instructions","\b(food[- ]?soiled|soiled|greasy)\s+(paper|cardboard|fibre|fiber|napkin|paper\s*towel|pizza\s*box|paper\s*bag|food\s*wrapper|takeout\s*container)s?\b | \b(napkin|paper\s*towel|pizza\s*box|paper\s*bag|cardboard|kitchen\s*towel|keukenpapier|talouspaperi|lautasliinat|k[üu]chenpapier|paper\s+napkin|carton|serviette)s?\b.{0,140}\b(compost|organic|food waste|biowaste|biotonne|gft|bioj[äa]te|brown\s+bin)\b",\b(pdf|document|paperwork|newspaper\s+article|webpage|paper\s+published|research\s+paper)\b,"INCLUDE: \b(food[- ]?soiled|soiled|greasy)\s+(paper|cardboard|fibre|fiber|napkin|paper\s*towel|pizza\s*box|paper\s*bag|food\s*wrapper|takeout\s*container)s?\b | \b(napkin|paper\s*towel|pizza\s*box|paper\s*bag|cardboard|kitchen\s*towel|keukenpapier|talouspaperi|lautasliinat|k[üu]chenpapier|paper\s+napkin|carton|serviette)s?\b.{0,140}\b(compost|organic|food waste|biowaste|biotonne|gft|bioj[äa]te|brown\s+bin)\b ; EXCLUDE: \b(pdf|document|paperwork|newspaper\s+article|webpage|paper\s+published|research\s+paper)\b",regex_include_exclude,Priority 4; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Shopping/produce bags,"Produce, carrier, shopping, checkout, or very-lightweight bags discussed as packaging rather than food-waste collection liners.","produce bags, fruit/vegetable bags, carrier/shopping/checkout bags",food-waste caddy liners or official collection bags,\b(produce\s*bag|fruit\s*(and|&|/)\s*vegetable\s*bag|vegetable\s*bag|carrier\s*bag|shopping\s*bag|checkout\s*bag|very\s*lightweight\s*plastic\s*bag|retail\s*bag|sacchetti\s+per\s+frutta\s+e\s+verdura|shopper)s?\b,\b(food[- ]?waste|organic\s*waste|biowaste|caddy|collection)\s+(bag|liner),INCLUDE: \b(produce\s*bag|fruit\s*(and|&|/)\s*vegetable\s*bag|vegetable\s*bag|carrier\s*bag|shopping\s*bag|checkout\s*bag|very\s*lightweight\s*plastic\s*bag|retail\s*bag|sacchetti\s+per\s+frutta\s+e\s+verdura|shopper)s?\b ; EXCLUDE: \b(food[- ]?waste|organic\s*waste|biowaste|caddy|collection)\s+(bag|liner),regex_include_exclude,Priority 5; exclusions are evaluated before inclusion for this category.
Application-level indicator,Application Group,Which product/application group does the evidence refer to?,Flexible films/wraps/pouches,"Flexible packaging such as films, wraps, wrappers, pouches, mailers, garment bags, and related flexible plastic-like packaging.","compostable film, wrap, pouch, mailer, garment bag, protective film","paper bags, rigid containers, generic packaging without film/wrap/pouch cue","\b(mailer|postal\s*bag|e[- ]?commerce\s*packaging|garment\s*bag|poly\s*bag|protective\s*film|stretch\s*film|shrink\s*film|wrapper|wrap|pouch|pouches|wikkels|films?|folien|buste)\w*\b.{0,160}\b(compostable|biodegradable|bioplastic|compostabil|biodegradabil|organic waste|compost|brown\s+bin|green\s+cart) | \b(compostable|biodegradable|bioplastic|compostabil|biodegradabil)\w*\b.{0,160}\b(film|wrap|wrapper|pouch|mailer|poly\s*bag|garment\s*bag|shopping\s*bag|carrier\s*bag)",No category-specific exclude regex.,"INCLUDE: \b(mailer|postal\s*bag|e[- ]?commerce\s*packaging|garment\s*bag|poly\s*bag|protective\s*film|stretch\s*film|shrink\s*film|wrapper|wrap|pouch|pouches|wikkels|films?|folien|buste)\w*\b.{0,160}\b(compostable|biodegradable|bioplastic|compostabil|biodegradabil|organic waste|compost|brown\s+bin|green\s+cart) | \b(compostable|biodegradable|bioplastic|compostabil|biodegradabil)\w*\b.{0,160}\b(film|wrap|wrapper|pouch|mailer|poly\s*bag|garment\s*bag|shopping\s*bag|carrier\s*bag) ; EXCLUDE: No category-specific exclude regex.",regex_include_exclude,Priority 6; exclusions are evaluated before inclusion for this category.
