citation_id,country_or_region,source_label,source_title,application_type,application_decision,Certification and Approval Basis,Source Authority,Stated Organic-waste Treatment Route,Acceptance,Rejection Rationale,certification_sufficiency_status,certification_sufficiency_score,certification_sufficiency_basis,certification_basis_type,certification_relevant_record,has_named_certification_or_approval,decision_basis,source_url
[48],United States,"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Environment,Tea/coffee preparation items,Accepted,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.hennepincounty.gov/services/environment/recycling/at-home-recycling/organics-recycling-home
[48],United States,"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Environment,Flexible films/wraps/pouches,Accepted,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.hennepincounty.gov/services/environment/recycling/at-home-recycling/organics-recycling-home
[48],United States,"United States - Hennepin County, Minnesota - Hennepin County / regional government guidance",Environment,Generic compostable packaging / plastics,Accepted,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,Accepted broadly,Not applicable - not a rejection/restriction case,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,"Application is accepted in the ordinary organics route; certification or generic compostability is treated as product qualification, not a scenario restriction.",https://www.hennepincounty.gov/services/environment/recycling/at-home-recycling/organics-recycling-home
[49],United States,United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Why should I take advantage of organics recycling in my community?,Food-service ware / takeaway packaging,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,No clear organics route,No compatible organic-treatment route,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.pca.state.mn.us/air-water-land-climate/frequently-asked-questions-about-organics-recycling
[49],United States,United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Why should I take advantage of organics recycling in my community?,Food-soiled paper / fibre packaging,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,No clear organics route,No compatible organic-treatment route,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.pca.state.mn.us/air-water-land-climate/frequently-asked-questions-about-organics-recycling
[49],United States,United States - Minnesota - Minnesota Pollution Control Agency / regional government guidance,Why should I take advantage of organics recycling in my community?,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Composting,No clear organics route,No compatible organic-treatment route,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.pca.state.mn.us/air-water-land-climate/frequently-asked-questions-about-organics-recycling
[50],United States,"United States - Woodland, California - City of Woodland / municipal sorting rule",Skip to Main Content,Food-waste liners / collection bags,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.cityofwoodland.gov/731/Residential-Organics-Recycling
[50],United States,"United States - Woodland, California - City of Woodland / municipal sorting rule",Skip to Main Content,Tea/coffee preparation items,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.cityofwoodland.gov/731/Residential-Organics-Recycling
[50],United States,"United States - Woodland, California - City of Woodland / municipal sorting rule",Skip to Main Content,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.cityofwoodland.gov/731/Residential-Organics-Recycling
[51],United States,"United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",opens in new tab or window,Food-waste liners / collection bags,Accepted with conditions,Government/programme approval,Municipal sorting rule,Treatment route not stated,Collection liners only,Slow degradation / residence-time mismatch,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics
[51],United States,"United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",opens in new tab or window,Tea/coffee preparation items,Rejected,Government/programme approval,Municipal sorting rule,Treatment route not stated,Collection liners only,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics
[51],United States,"United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",opens in new tab or window,Food-soiled paper / fibre packaging,Rejected,Government/programme approval,Municipal sorting rule,Treatment route not stated,Collection liners only,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics
[51],United States,"United States - San Antonio, Texas - City of San Antonio / municipal sorting rule",opens in new tab or window,Generic compostable packaging / plastics,Rejected,Government/programme approval,Municipal sorting rule,Treatment route not stated,Collection liners only,Slow degradation / residence-time mismatch,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.sa.gov/Directory/Departments/SWMD/Recycling-Organics/Organics
[57],Canada,"Canada - London, Ontario - City of London / municipal sorting rule",Green Bin,Food-waste liners / collection bags,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Treatment route not stated,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://london.ca/living-london/garbage-recycling/green-bin
[57],Canada,"Canada - London, Ontario - City of London / municipal sorting rule",Green Bin,Tea/coffee preparation items,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Treatment route not stated,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://london.ca/living-london/garbage-recycling/green-bin
[57],Canada,"Canada - London, Ontario - City of London / municipal sorting rule",Green Bin,Food-soiled paper / fibre packaging,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Treatment route not stated,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://london.ca/living-london/garbage-recycling/green-bin
[57],Canada,"Canada - London, Ontario - City of London / municipal sorting rule",Green Bin,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Treatment route not stated,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://london.ca/living-london/garbage-recycling/green-bin
[58],Canada,"Canada - Richmond, British Columbia - City of Richmond / municipal sorting rule",Green Cart Recycling,Food-waste liners / collection bags,Accepted with conditions,Government/programme approval,Municipal sorting rule,Composting,Collection liners only,AD/biogas incompatibility,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.richmond.ca/services/recycling-garbage/foodyardwaste/greencart.htm
[58],Canada,"Canada - Richmond, British Columbia - City of Richmond / municipal sorting rule",Green Cart Recycling,Tea/coffee preparation items,Rejected,Government/programme approval,Municipal sorting rule,Composting,Collection liners only,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.richmond.ca/services/recycling-garbage/foodyardwaste/greencart.htm
[58],Canada,"Canada - Richmond, British Columbia - City of Richmond / municipal sorting rule",Green Cart Recycling,Food-soiled paper / fibre packaging,Rejected,Government/programme approval,Municipal sorting rule,Composting,Collection liners only,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.richmond.ca/services/recycling-garbage/foodyardwaste/greencart.htm
[58],Canada,"Canada - Richmond, British Columbia - City of Richmond / municipal sorting rule",Green Cart Recycling,Generic compostable packaging / plastics,Rejected,Government/programme approval,Municipal sorting rule,Composting,Collection liners only,AD/biogas incompatibility,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.richmond.ca/services/recycling-garbage/foodyardwaste/greencart.htm
[59],Canada,"Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,Food-waste liners / collection bags,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart
[59],Canada,"Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,Tea/coffee preparation items,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart
[59],Canada,"Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,Food-soiled paper / fibre packaging,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart
[59],Canada,"Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,Flexible films/wraps/pouches,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart
[59],Canada,"Canada - Saskatoon, Saskatchewan - City of Saskatoon / municipal sorting rule",Services for Residents,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.saskatoon.ca/services-residents/waste-recycling/organics-food-yard-waste/curbside-organics-green-cart
[60],Canada,"Canada - Niagara Region, Ontario - Niagara Region / regional government guidance",Acceptable Compostable Bags and Where to Buy Them,Food-service ware / takeaway packaging,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.niagararegion.ca/waste/containers/compostable-bags.aspx
[60],Canada,"Canada - Niagara Region, Ontario - Niagara Region / regional government guidance",Acceptable Compostable Bags and Where to Buy Them,Shopping/produce bags,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.niagararegion.ca/waste/containers/compostable-bags.aspx
[60],Canada,"Canada - Niagara Region, Ontario - Niagara Region / regional government guidance",Acceptable Compostable Bags and Where to Buy Them,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,"State, provincial, regional, or canton rule",Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.niagararegion.ca/waste/containers/compostable-bags.aspx
[62],Canada,Canada - Province of Quebec (General Municipal Guidance) - RECYC-QUÉBEC / Bureau de normalisation du Québec (BNQ) / regional government guidance,RECYC-QUÉBEC - Notre guide d'utilisation des sacs : choisir le bon,Food-waste liners / collection bags,Accepted,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.recyc-quebec.gouv.qc.ca/municipalites/matieres-organiques/participation-citoyenne/guide-utilisation-sacs
[62],Canada,Canada - Province of Quebec (General Municipal Guidance) - RECYC-QUÉBEC / Bureau de normalisation du Québec (BNQ) / regional government guidance,RECYC-QUÉBEC - Notre guide d'utilisation des sacs : choisir le bon,Generic compostable packaging / plastics,Rejected,BPI / ASTM / CMA,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.recyc-quebec.gouv.qc.ca/municipalites/matieres-organiques/participation-citoyenne/guide-utilisation-sacs
[63],Australia,Australia - New South Wales - NSW EPA / state government FOGO guidance,FOGO information for households,Food-waste liners / collection bags,Accepted,OK compost HOME / NF T 51-800 / AS 5810,"State, provincial, regional, or canton rule",Composting,Collection liners only,Pre-treatment/screening/equipment constraint,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.epa.nsw.gov.au/Your-environment/Recycling-and-reuse/household-recycling-overview/FOGO-information-for-households
[63],Australia,Australia - New South Wales - NSW EPA / state government FOGO guidance,FOGO information for households,Tea/coffee preparation items,Rejected,OK compost HOME / NF T 51-800 / AS 5810,"State, provincial, regional, or canton rule",Composting,Collection liners only,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.epa.nsw.gov.au/Your-environment/Recycling-and-reuse/household-recycling-overview/FOGO-information-for-households
[63],Australia,Australia - New South Wales - NSW EPA / state government FOGO guidance,FOGO information for households,Generic compostable packaging / plastics,Rejected,OK compost HOME / NF T 51-800 / AS 5810,"State, provincial, regional, or canton rule",Composting,Collection liners only,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.epa.nsw.gov.au/Your-environment/Recycling-and-reuse/household-recycling-overview/FOGO-information-for-households
[64],Australia,Australia - City of Sydney - City of Sydney / municipal food-scraps service,Skip to content,Food-waste liners / collection bags,Accepted,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Reason not explicitly stated,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.cityofsydney.nsw.gov.au/waste-recycling-services/prepare-for-your-food-scraps-recycling-collection
[64],Australia,Australia - City of Sydney - City of Sydney / municipal food-scraps service,Skip to content,Tea/coffee preparation items,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.cityofsydney.nsw.gov.au/waste-recycling-services/prepare-for-your-food-scraps-recycling-collection
[64],Australia,Australia - City of Sydney - City of Sydney / municipal food-scraps service,Skip to content,Flexible films/wraps/pouches,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.cityofsydney.nsw.gov.au/waste-recycling-services/prepare-for-your-food-scraps-recycling-collection
[64],Australia,Australia - City of Sydney - City of Sydney / municipal food-scraps service,Skip to content,Generic compostable packaging / plastics,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Reason not explicitly stated,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.cityofsydney.nsw.gov.au/waste-recycling-services/prepare-for-your-food-scraps-recycling-collection
[65],Australia,"Australia - Melbourne and Manningham, Victoria - City of Melbourne + Manningham / municipal FOGO rules",Food and garden organics,Food-waste liners / collection bags,Accepted with conditions,OK compost HOME / NF T 51-800 / AS 5810,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.melbourne.vic.gov.au/food-and-garden-organics-service
[65],Australia,"Australia - Melbourne and Manningham, Victoria - City of Melbourne + Manningham / municipal FOGO rules",Food and garden organics,Food-service ware / takeaway packaging,Rejected,OK compost HOME / NF T 51-800 / AS 5810,Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.melbourne.vic.gov.au/food-and-garden-organics-service
[66],Australia,"Australia - Randwick, New South Wales - Randwick City Council / municipal sorting rule",Home,Food-waste liners / collection bags,Accepted,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification accepted,0,"The source mentions a certification, standard, or official approval basis, and this application group is accepted in the ordinary organic-waste route.",certification_relevant,Yes,Yes,Food-waste liners/collection bags are accepted in the ordinary organics route; certification or compostability wording is treated as product qualification.,https://www.randwick.nsw.gov.au/about-us/news/news-items/2022/december/fogo-changes-from-2023-its-just-for-food-scraps-and-garden-clippings
[66],Australia,"Australia - Randwick, New South Wales - Randwick City Council / municipal sorting rule",Home,Food-service ware / takeaway packaging,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.randwick.nsw.gov.au/about-us/news/news-items/2022/december/fogo-changes-from-2023-its-just-for-food-scraps-and-garden-clippings
[66],Australia,"Australia - Randwick, New South Wales - Randwick City Council / municipal sorting rule",Home,Food-soiled paper / fibre packaging,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.randwick.nsw.gov.au/about-us/news/news-items/2022/december/fogo-changes-from-2023-its-just-for-food-scraps-and-garden-clippings
[66],Australia,"Australia - Randwick, New South Wales - Randwick City Council / municipal sorting rule",Home,Generic compostable packaging / plastics,Rejected,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Municipal sorting rule,Composting,Collection liners only,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level rule is liner-only; this broader application category is outside the accepted application scope.,https://www.randwick.nsw.gov.au/about-us/news/news-items/2022/december/fogo-changes-from-2023-its-just-for-food-scraps-and-garden-clippings
[67],Australia,"Australia - Inner West, New South Wales - Inner West Council / municipal sorting rule",FOGO (Food organics garden organics),Food-waste liners / collection bags,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.innerwest.nsw.gov.au/household-bins/fogo-food-organics-garden-organics
[67],Australia,"Australia - Inner West, New South Wales - Inner West Council / municipal sorting rule",FOGO (Food organics garden organics),Tea/coffee preparation items,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.innerwest.nsw.gov.au/household-bins/fogo-food-organics-garden-organics
[67],Australia,"Australia - Inner West, New South Wales - Inner West Council / municipal sorting rule",FOGO (Food organics garden organics),Flexible films/wraps/pouches,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.innerwest.nsw.gov.au/household-bins/fogo-food-organics-garden-organics
[67],Australia,"Australia - Inner West, New South Wales - Inner West Council / municipal sorting rule",FOGO (Food organics garden organics),Generic compostable packaging / plastics,Rejected,EN 13432 / OK compost / Seedling,Municipal sorting rule,Composting,Rejected,Pre-treatment/screening/equipment constraint,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.innerwest.nsw.gov.au/household-bins/fogo-food-organics-garden-organics
[68],Australia,Australia - South Australia (Regional Processing Networks) - Green Industries South Australia (GISA) Operational Guidance / regional government guidance,Reducing food waste – resources for households,Food-waste liners / collection bags,Accepted with conditions,OK compost HOME / NF T 51-800 / AS 5810,"State, provincial, regional, or canton rule",Composting,Collection liners only,Reason not explicitly stated,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.greenindustries.sa.gov.au/food-waste-resources-households
[70],New Zealand,New Zealand - New Plymouth District - NPDC / municipal food-scraps rule,Skip to main content,Generic compostable packaging / plastics,Rejected,OK compost HOME / NF T 51-800 / AS 5810,Municipal sorting rule,Composting,Rejected,Compost/digestate quality or contamination concern,Certification rejected,2,"The source mentions a certification, standard, or official approval basis, but this application-group record is rejected from the organic-waste route.",certification_relevant,Yes,Yes,Source-level evidence rejects compostable packaging/items or identifies no accepted organics route.,https://www.npdc.govt.nz/zero-waste/recycling-and-rubbish-collection/your-food-scraps-bin/
[71],Japan,"Japan - Mashiko, Tochigi - 益子町 / municipal sorting rule",--- Page 1 ---,Food-waste liners / collection bags,Accepted with conditions,Government/programme approval,Municipal sorting rule,Treatment route not stated,Collection liners only,Reason not explicitly stated,Certification conditionally accepted,1,"The source mentions a certification, standard, or official approval basis, but acceptance still depends on additional operational gatekeeping such as local/facility approval, official/designated items, positive-list inclusion, programme approval, event/commercial collection, or another controlled route.",certification_relevant,Yes,Yes,"Food-waste liners are accepted only as official/designated, locally/facility-approved, or otherwise restricted collection items.",https://www.town.mashiko.lg.jp/data/doc/1396155521_doc_87_0.pdf
