citation_id,country_or_region,subnational_or_context,source_label,source_title,source_url,Source Authority,Stated Organic-waste Treatment Route,Treatment Route Coding Note,Acceptance,Certification and Approval Basis,Rejection Rationale,Application Groups Detected,Source-level Sensitivity Group
[66],Australia,"Randwick, New South Wales","Australia - Randwick, New South Wales - Randwick City Council / municipal sorting rule",Home,https://www.randwick.nsw.gov.au/about-us/news/news-items/2022/december/fogo-changes-from-2023-its-just-for-food-scraps-and-garden-clippings,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
[67],Australia,"Inner West, New South Wales","Australia - Inner West, New South Wales - Inner West Council / municipal sorting rule",FOGO (Food organics garden organics),https://www.innerwest.nsw.gov.au/household-bins/fogo-food-organics-garden-organics,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Pre-treatment/screening/equipment constraint,Food-waste liners / collection bags; Tea/coffee preparation items; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[68],Australia,South Australia (Regional Processing Networks),Australia - South Australia (Regional Processing Networks) - Green Industries South Australia (GISA) Operational Guidance / regional government guidance,Reducing food waste – resources for households,https://www.greenindustries.sa.gov.au/food-waste-resources-households,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,OK compost HOME / NF T 51-800 / AS 5810,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[69],New Zealand,National,New Zealand - National - Ministry for the Environment / national kerbside standard,"Material excluded from kerbside food scraps and food and garden waste collections | Ministry for the Environment, New Zealand",https://environment.govt.nz/what-government-is-doing/areas-of-work/waste/improving-household-recycling-and-food-scrap-collections/material-excluded-from-kerbside-food-scraps-and-food-and-garden-waste-collections/,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,National/supranational sources
[70],New Zealand,New Plymouth District,New Zealand - New Plymouth District - NPDC / municipal food-scraps rule,Skip to main content,https://www.npdc.govt.nz/zero-waste/recycling-and-rubbish-collection/your-food-scraps-bin/,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,OK compost HOME / NF T 51-800 / AS 5810,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[71],Japan,"Mashiko, Tochigi","Japan - Mashiko, Tochigi - 益子町 / municipal sorting rule",--- Page 1 ---,https://www.town.mashiko.lg.jp/data/doc/1396155521_doc_87_0.pdf,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[72],Japan,"Makkari, Hokkaidō","Japan - Makkari, Hokkaidō - 真狩村 / municipal sorting rule",ごみの出し方・注意事項,https://www.vill.makkari.lg.jp/kurashi/gomi/bunbetsu/dashikata/,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[73],Japan,"Niseko, Hokkaidō","Japan - Niseko, Hokkaidō - ニセコ町 / municipal sorting / program document",--- Page 1 ---,https://www.town.niseko.lg.jp/resources/output/contents/file/release/903/13734/80b6adbfc21896406dd4d482d212e7d5.pdf,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[74],Japan,"Toyohashi, Aichi","Japan - Toyohashi, Aichi - 豊橋市 / municipal sorting rule",生ごみ分別について,https://www.city.toyohashi.lg.jp/26526.htm,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit compostable-packaging rule,Government/programme approval,Not applicable - not a rejection/restriction case,Food-waste liners / collection bags,Sources below national level
[75],Japan,National,"Japan - National - Ministry of Agriculture, Forestry and Fisheries / national government guidance",このページの本文へ移動,https://www.maff.go.jp/j/syouan/nouan/kome/k_hiryo/compostable_plastic.html,National rule or policy,Composting,Named downstream treatment route detected,Collection liners only,Government/programme approval,Reason not explicitly stated,Food-waste liners / collection bags,National/supranational sources
[76],Spain,Vigo (Galicia),Spain - Vigo (Galicia) - Concello de Vigo / municipal sorting rule,Saltar al contenido,https://hoxe.vigo.org/movemonos/limp_org_form.php?lang=cas,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Generic compostable/biodegradable wording only,Explicit no-packaging / positive-list restriction,Food-waste liners / collection bags,Sources below national level
[77],Belgium,National (all three regions),Belgium - National (all three regions) - Fost Plus (producer responsibility organisation) / waste-company guidance,"FAQ Bio-based/sourced plastics, bio-degradable and compostable plastics | Fost Plus",https://www.fostplus.be/fr/media/1374/download%20(FR);%20https:/www.fostplus.be/nl/media/1373/download%20(NL),Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,OK compost HOME / NF T 51-800 / AS 5810,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[78],Belgium,Flanders (national D4R guideline),Belgium - Flanders (national D4R guideline) - Fost Plus — Design for Recycling guidelines (Algemene D4R richtlijnen) / waste-company guidance,--- Page 1 ---,https://www.fostplus.be/nl/media/343/download,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[79],Belgium,Ghent (Flanders),Belgium - Ghent (Flanders) - IVAGO (Ghent intermunicipal waste company) / hauler guidance,"IVAGO gft-zakken and GFT-zakkenzone | IVAGO, Ghent",https://www.ivago.be/nl/particulier/afval/gids/gft;%20https:/www.ivago.be/nl/particulier/dienst/composteerbare-zakjes;%20https:/www.ivago.be/nl/particulier/blog/100-composteerbaar-0-gft,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags; Food-service ware / takeaway packaging,Sources below national level
[80],Austria,Vienna (Wien),Austria - Vienna (Wien) - Stadt Wien / MA48 (Magistratsabteilung 48 – Abfallwirtschaft) / municipal sorting rule,Sammlung von biogenem Abfall,https://www.wien.gv.at/umwelt/sammlung-biogener-abfall,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[81],Austria,National,Austria - National - oesterreich.gv.at (Austrian federal citizen portal) / national government guidance,Bioabfall,https://www.oesterreich.gv.at/de/themen/bauen_und_wohnen/abfall/bioabfall,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,National/supranational sources
[82],Denmark,National,Denmark - National - Miljøstyrelsen (Danish Environmental Protection Agency) / national government guidance,Udskriftsdato: 17. maj 2024,https://producentansvar.dk/wp-content/uploads/2022/04/mst-sorteringsvejledning-2022.pdf,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,Government/programme approval,Compost/digestate quality or contamination concern,Organic-waste system context only,National/supranational sources
[83],Denmark,Roskilde (Zealand),Denmark - Roskilde (Zealand) - Roskilde Kommune / municipal sorting rule,start på hovedindhold,https://www.roskilde.dk/da-dk/service-og-selvbetjening/borger/affald-og-genbrug/hvordan-sorterer-jeg-affaldet/madaffald/,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Collection liners only,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[84],Sweden,National,Sweden - National - Avfall Sverige (Swedish Waste Management association — industry body for certified biogas facilities) / composting facility rule / certification standard,Hem,https://www.avfallsverige.se/fakta-statistik/certifierad-atervinning/certifieringsregler-for-biogodsel/nya-krav-pa-pasar-for-matavfall/,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[85],Sweden,National (Avfallsförordningen),Sweden - National (Avfallsförordningen) - Naturvårdsverket / Swedish Government (Avfallsförordningen 2020:614 as amended; Avfall Sverige interpretation) / national government guidance,2024-01-02,https://www.avfallsverige.se/aktuellt/nyheter/ny-lagstiftning-2024/,National rule or policy,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,National/supranational sources
[86],Sweden,Stockholm,Sweden - Stockholm - Stockholm Vatten och Avfall (SVOA) / municipal sorting rule,Regler för förpackat matavfall från livsmedelsbutik,https://www.stockholmvattenochavfall.se/artiklar-listsida/avfall---sortering-och-atervinning/regler-for-forpackat-matavfall-fran-livsmedelsbutik/,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[87],Switzerland,Zürich (city),Switzerland - Zürich (city) - Stadt Zürich — Tiefbau- und Entsorgungsdepartement / municipal sorting rule,Seite vorlesen,https://www.stadt-zuerich.ch/de/umwelt-und-energie/entsorgung/was-entsorgen/bioabfall.html,Municipal sorting rule,AD/biogas + composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Organic-waste system context only,Sources below national level
[88],Switzerland,Zürich (city / canton),Switzerland - Zürich (city / canton) - Biogas Zürich AG (anaerobic digestion treatment facility) / anaerobic digestion facility rule,Aktuell,https://biogaszuerich.ch/aktuell-faq/,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Dedicated/controlled route only,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[89],Switzerland,Bern (city),Switzerland - Bern (city) - Stadt Bern — Grüngut / municipal sorting rule,Navigieren auf Stadt Bern,https://www.bern.ch/themen/abfall/entsorgungs-abc/gruengut,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,Sources below national level
[90],Switzerland,National,Switzerland - National - BAFU — Bundesamt für Umwelt (Federal Office for the Environment) / national government guidance,Thema Abfall,https://www.bafu.admin.ch/de/abfall,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,National/supranational sources
[91],Chile,Vitacura,Chile - Vitacura - Municipal organic-waste / composting guidance,¡Retiro de residuos orgánicos gratuito! | Vitacura Sustentable,https://sustentable.vitacura.cl/organico/,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[92],Mexico,Mexico City / CDMX,Mexico - Mexico City / CDMX - Solid-waste regulation,"Norma Ambiental NACDMX-010-AMBT-2019 | Secretar?a del Medio Ambiente, Ciudad de M?xico",https://data.sedema.cdmx.gob.mx/sitios/conadf/documentos/NACDMX_010_AMBT_2019.pdf,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Country-specific standards/certifications (BNQ / AS 4736 / DINplus),Explicit no-packaging / positive-list restriction,Food-waste liners / collection bags; Flexible films/wraps/pouches,National/supranational sources
[93],Czechia,Prague,Czechia - Prague - Pražské služby a.s. - Svoz bioodpadu v Praze,Call centrum,https://www.psas.cz/svoz-bioodpadu,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[94],Greece,Alimos,Greece - Alimos - Δήμος Αλίμου - Εκστρατεία ευαισθητοποίησης για τους καφέ κάδους ανακύκλωσης,Περιβάλλον,https://alimos.gov.gr/%CE%B5%CE%BA%CF%83%CF%84%CF%81%CE%B1%CF%84%CE%B5%CE%B9%CE%B1-%CE%B5%CF%85%CE%B1%CE%B9%CF%83%CE%B8%CE%B7%CF%84%CE%BF%CF%80%CE%BF%CE%B9%CE%B7%CF%83%CE%B7%CF%83-%CE%B3%CE%B9%CE%B1-%CF%84%CE%BF%CF%85/,Municipal sorting rule,Composting,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[95],Latvia,Riga / Getliņi BNA system,Latvia - Riga / Getliņi BNA system - Rīgas valstspilsētas pašvaldība - Atkritumu šķirošanas ceļvedis,Pāriet uz lapas saturu,https://www.riga.lv/lv/atkritumu-skirosanas-celvedis,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[96],Lithuania,Alytus region,Lithuania - Alytus region - UAB Alytaus regiono atliekų tvarkymo centras - Grūte bus dalijami maisto atliekų surinkimo konteineriai,Naujiena,https://www.aratc.lt/naujienos/grute-bus-dalijami-maisto-atlieku-surinkimo-konteineriai/,"State, provincial, regional, or canton rule",Treatment route not stated,No collection-route or downstream-treatment cue detected,Accepted broadly,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,Sources below national level
[97],Luxembourg,Luxembourg City,Luxembourg - Luxembourg City - Ville de Luxembourg - Déchets organiques de cuisine,Écoutez,https://www.vdl.lu/fr/vivre/domicile-au-quotidien/collecter-et-trier-ses-dechets/par-type-de-dechets/dechets-organiques-de-cuisine,Municipal sorting rule,Other organic recovery,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Explicit no-packaging / positive-list restriction,Tea/coffee preparation items; Generic compostable packaging / plastics,Sources below national level
[98],Poland,Toruń,Poland - Toruń - Miasto Toruń and MPO Toruń - STOP foliówkom w pojemnikach BIO - rozdajemy BIOworki,2025-01-24,https://www.mpo.torun.pl/__jw-webdev/mpo/324/stop-foliowkom-w-pojemnikach-bio-rozdajemy-bioworki,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,No compatible organic-treatment route,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[99],Portugal,LIPOR municipalities,Portugal - LIPOR municipalities - Lipor - FAQ - Gestão de Resíduos – Campanha Reciclar é Dar +,HOME,https://www.lipor.pt/darmais/faq/gestao-residuos.html,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Collection liners only,No named standard/approval stated,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[100],Poland,Warsaw,Poland - Warsaw - Urząd m. st. Warszawy - Biodegradowalne opakowania np. ze skrobi kukurydzianej,Co chcesz wyrzucić?,https://segregujna5.um.warszawa.pl/odpady/biodegradowalne-opakowania-np-ze-skrobi-kukurydzianej/,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Generic compostable packaging / plastics,Sources below national level
[101],Slovakia,Bratislava,Slovakia - Bratislava - OLO a.s. - Ako správne triediť kuchynský bioodpad?,Ako správne triediť kuchynský bioodpad?,https://www.olo.sk/odpad/ako-spravne-triedit-odpad/kbro,Municipal sorting rule,Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Rejected,EN 13432 / OK compost / Seedling,Reason not explicitly stated,Food-waste liners / collection bags,Sources below national level
[102],Luxembourg,National,Luxembourg - National - Administration de l'environnement - 1x1 Offalltrennung,--- Page 1 ---,https://environnement.public.lu/dam-assets/documents/offall_a_ressourcen/1x1-offalltrennung/01-aev-flyer-fr-online.pdf,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Rejected,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Tea/coffee preparation items,National/supranational sources
[103],Portugal,Sintra,Portugal - Sintra - SMAS Sintra / Tratolixo - Sintra Biorresíduos,Início,https://www.smas-sintra.pt/sintra-biorresiduos/perguntas-frequentes/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[104],Lithuania,Vilnius,Lithuania - Vilnius - VASA - Maisto atliekas Vilniuje,lt,https://zaliasvilnius.lt/maisto-atliekas-vilniuje-rusiuokime-i-oranzinius-maiselius/,Waste operator or treatment-facility rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit compostable-packaging rule,Government/programme approval,Not applicable - not a rejection/restriction case,Organic-waste system context only,Sources below national level
[105],Poland,National,Poland - National - Ministerstwo Klimatu i Środowiska - Segregacja odpadów - pojemniki bio,Powrót,https://www.gov.pl/web/klimat/segregacjaodpadow-pojemniki-bio,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,No explicit compostable-packaging rule,Generic compostable/biodegradable wording only,Not applicable - not a rejection/restriction case,Organic-waste system context only,National/supranational sources
[106],Portugal,National,Portugal - National - Agência Portuguesa do Ambiente - Ainda não sabe como se separam os biorresíduos?,Início,https://www.pontoverde.pt/recicla/ainda-nao-sabe-como-se-separam-os-biorresiduos/,National rule or policy,Composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,National/supranational sources
[107],Norway,Rogaland (Molde/Romsdal region),Norway - Rogaland (Molde/Romsdal region) - RIR (Romsdals-halv og Innlandets Renovasjon) - Nedbrytbare matavfallsposer til matavfall fra 1. januar,Hjem,https://www.rir.no/aktuelt/nedbrytbare-matavfallsposer,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,EN 13432 / OK compost / Seedling,Slow degradation / residence-time mismatch,Food-waste liners / collection bags,Sources below national level
[108],Norway,Oslo,Norway - Oslo - Oslo kommune – Renovasjons- og gjenvinningsetaten (REG) - Nedbrytbar – men hvor?,Avfall og ressurser,https://aktuelt.oslo.kommune.no/nedbrytbar-men-hvor,Municipal sorting rule,AD/biogas only,Named downstream treatment route detected,Rejected,No named standard/approval stated,Slow degradation / residence-time mismatch,Organic-waste system context only,Sources below national level
[109],Norway,National (Greve Biogass service area),Norway - National (Greve Biogass service area) - Greve Biogass (AD operator) — quoted in Huseierne - Nedbrytbart? Ikke i Norge,Nedbrytbart? Ikke i Norge,https://beta.fagpressenytt.no/artikkel/nedbrytbart-ikke-i-norge,Waste operator or treatment-facility rule,AD/biogas only,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[110],Finland,"Helsinki Metropolitan Area (Helsinki, Espoo, Vantaa, Kauniainen)","Finland - Helsinki Metropolitan Area (Helsinki, Espoo, Vantaa, Kauniainen) - HSY (Helsinki Region Environmental Services Authority) - Biohajoava muovi"" (Biodegradable plastic sorting guidance)",Jäteoppaaseen,https://www.hsy.fi/jatteet-ja-kierratys/jateopas-ja-lajitteluohjeet/jatteet/biohajoava-muovi/,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Slow degradation / residence-time mismatch,Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[111],Finland,Kainuu region,"Finland - Kainuu region - Ekokymppi (Kainuu waste authority) - Biojäte"" sorting guide",Biojäte,https://www.ekokymppi.fi/tietopankki/lajittelu/biojate.html,"State, provincial, regional, or canton rule",Treatment route not stated,Collection/bin route stated only; downstream treatment technology not stated,Collection liners only,OK compost HOME / NF T 51-800 / AS 5810,Reason not explicitly stated,Food-waste liners / collection bags; Food-soiled paper / fibre packaging,Sources below national level
[112],Finland,"Jyväskylä, Laukaa, Muurame, Toivakka","Finland - Jyväskylä, Laukaa, Muurame, Toivakka - Mustankorkea (composting facility) - Biohajoava, kompostoituva vai biopohjainen?"" (blog/guidance)",Blogit,https://www.mustankorkea.fi/blogit/biohajoavat-tuotteet/,Waste operator or treatment-facility rule,Composting,Named downstream treatment route detected,Rejected,OK compost HOME / NF T 51-800 / AS 5810,Pre-treatment/screening/equipment constraint,Food-service ware / takeaway packaging; Generic compostable packaging / plastics,Sources below national level
[113],Ireland,National,"Ireland - National - MyWaste.ie (national waste guidance portal — government funded, operated by Regional Waste Management Planning Offices) - Brown bin collection service",Brown bin collection service,https://mywaste.ie/dispose-waste/at-home/three-bin-system/brown-bin/brown-bin-collection-service/,National rule or policy,AD/biogas + composting,Named downstream treatment route detected,Accepted broadly,EN 13432 / OK compost / Seedling,Not applicable - not a rejection/restriction case,Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,National/supranational sources
[114],Ireland,Dún Laoghaire-Rathdown County,"Ireland - Dún Laoghaire-Rathdown County - Dún Laoghaire-Rathdown County Council - Food Waste"" (waste guidance page)",Waste,https://www.dlrcoco.ie/recycling-waste/waste/food-waste,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,No clear organics route,EN 13432 / OK compost / Seedling,No compatible organic-treatment route,Food-waste liners / collection bags; Generic compostable packaging / plastics,Sources below national level
[115],Mexico,Mexico City (CDMX),"Mexico - Mexico City (CDMX) - Secretaría del Medio Ambiente, Ciudad de México (via Ley de Residuos Sólidos del CDMX and Reglamento) - Reglamento de la Ley de Residuos Sólidos del Distrito Federal"" (Artículo 32 Bis)",REGLAMENTO DE LA LEY DE RESIDUOS SÓLIDOS,https://paot.org.mx/centro/leyes-normas-htmls/reglamento-de-la-1054.html,National rule or policy,Treatment route not stated,No collection-route or downstream-treatment cue detected,Collection liners only,Generic compostable/biodegradable wording only,Explicit no-packaging / positive-list restriction,Organic-waste system context only,National/supranational sources
[116],Chile,National (proposed framework),Chile - National (proposed framework) - Ministerio del Medio Ambiente — Estrategia Nacional de Residuos Orgánicos (ENRO) / Proyecto de Ley - Proyecto de Ley de Residuos Orgánicos en Chile,Agroalimentación,https://greennetwork.cl/medioambiente/proyecto-de-ley-de-residuos-organicos-en-chile-un-paso-mas-hacia-la-sostenibilidad/,National rule or policy,Composting,Named downstream treatment route detected,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,National/supranational sources
[117],Israel,National,"Israel - National - Ministry of Environmental Protection - In new push, government hopes to get Israelis to sort food waste"" (Times of Israel reporting on new draft regulations)",Advertisement,https://www.timesofisrael.com/in-new-push-government-hopes-to-get-israelis-to-sort-food-waste-from-other-trash/,National rule or policy,Composting,Named downstream treatment route detected,No clear organics route,No named standard/approval stated,No compatible organic-treatment route,Organic-waste system context only,National/supranational sources
[118],Germany,Braunschweig,Germany - Braunschweig - Stadt Braunschweig / Kompostierbare Kunststoffe in Biotonne,Zur Startseite springen,https://www.braunschweig.de/leben/wohnen_energie_abfall/usbs/bioplastik.php,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,EN 13432 / OK compost / Seedling,Compost/digestate quality or contamination concern,Generic compostable packaging / plastics,Sources below national level
[119],Costa Rica,Alvarado,Costa Rica - Alvarado - Municipalidad de Alvarado / Gestión Ambiental,Gestión Ambiental | Municipalidad de Alvarado,https://munialvarado.go.cr/index.php?id=33&option=com_content&view=article,Municipal sorting rule,Composting,Named downstream treatment route detected,No explicit compostable-packaging rule,No named standard/approval stated,Not applicable - not a rejection/restriction case,Organic-waste system context only,Sources below national level
[120],Costa Rica,municipal composting guide / REPIC-SKAT municipal source,Costa Rica - municipal composting guide / REPIC-SKAT municipal source,Guía para el compostaje de residuos orgánicos procedentes de la recolección municipal,https://skat.ch/publications/guia-para-el-compostaje-de-residuos-organicos-procedentes-de-la-recoleccion-municipal,Municipal sorting rule,Composting,Named downstream treatment route detected,Rejected,No named standard/approval stated,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[121],Estonia,Tallinn,Estonia - Tallinn - City of Tallinn / Bio-waste,Bio-waste | Tallinn,https://www.tallinn.ee/en/keskkond/bio-waste,Municipal sorting rule,Composting,Named downstream treatment route detected,No clear organics route,Generic compostable/biodegradable wording only,No compatible organic-treatment route,Organic-waste system context only,Sources below national level
[122],Estonia,Tartu,Estonia - Tartu - Tartu City Government / organised municipal waste transport,Korraldatud jäätmevedu | Tartu linn,https://tartu.ee/et/korraldatud-olmejaatmevedu,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[123],Estonia,Rakvere,Estonia - Rakvere - Rakvere City / waste sorting guidance,Jäätmete liigiti kogumine | Rakvere Linnavalitsus,https://rakvere.ee/jaatmete-sorteerimine,Municipal sorting rule,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,Generic compostable/biodegradable wording only,Reason not explicitly stated,Organic-waste system context only,Sources below national level
[124],Slovenia,Ljubljana,Slovenia - Ljubljana - JP VOKA SNAGA / biodegradable bio-organic waste guidance,Biowaste | JP VOKA SNAGA,https://www.vokasnaga.si/en/separating-and-collecting-waste/biodegradable-bio-organic-waste,Waste operator or treatment-facility rule,AD/biogas + composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags,Sources below national level
[125],South Korea,"Dobong-gu, Seoul","South Korea - Dobong-gu, Seoul - household waste disposal guide",생활폐기물 배출안내 | 도봉구,https://www.dobong.go.kr/subsite/waste/Contents.asp?code=10007358,Municipal sorting rule,Other organic recovery,Named downstream treatment route detected,Rejected,Government/programme approval,Pre-treatment/screening/equipment constraint,Food-waste liners / collection bags,Sources below national level
[126],South Korea,Busan Metropolitan City,South Korea - Busan Metropolitan City - recycling/separation public guidance,생활쓰레기 줄이기 홍보관 | 부산광역시,https://www.busan.go.kr/depart/ahwasteinfo01,Intermunicipal or regional waste authority,Treatment route not stated,No collection-route or downstream-treatment cue detected,Rejected,No named standard/approval stated,Slow degradation / residence-time mismatch,Organic-waste system context only,Sources below national level
[127],Canada,"Halifax, Nova Scotia","Canada - Halifax, Nova Scotia - Green carts, leaf and yard material","Green carts, leaf and yard material",https://www.halifax.ca/home-property/garbage-recycling-green-cart/green-carts-leaf-yard-material,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[128],Canada,"Calgary, Alberta","Canada - Calgary, Alberta - What can go in your green cart",What can go in your green cart,https://www.calgary.ca/waste/residential/what-can-go-in-green-cart.html,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,Collection liners only,Generic compostable/biodegradable wording only,Compost/digestate quality or contamination concern,Food-waste liners / collection bags; Tea/coffee preparation items; Food-soiled paper / fibre packaging; Flexible films/wraps/pouches; Generic compostable packaging / plastics,Sources below national level
[129],Canada,"Montréal, Québec","Canada - Montréal, Québec - Get details about food waste collections",Get details about food waste collections,https://montreal.ca/en/how-to/get-details-about-food-waste-collections,"State, provincial, regional, or canton rule",Composting,Named downstream treatment route detected,No clear organics route,Government/programme approval,No compatible organic-treatment route,Food-service ware / takeaway packaging; Food-soiled paper / fibre packaging; Generic compostable packaging / plastics,Sources below national level
